idProduct,firm,product,segment,price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar,xi_gmm_both,own_elasticity_simple_logit,markup_monoproduct,mc_monoproduct,markup_multiproduct,mc_multiproduct,markup_multi_over_price,markup_mono_over_price
1,KG,CornFlakes,Fam,1.81,0.0567,-1.4548756252744204,100,0,2,1.95,7.109,5.67,0.2429,1,2,2,2300,7281,17,2200,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,162,341.4,17,50,33,0.3069,0.18475073313782991,-1.6887477508919841,13,12,37,1750,1650,5531,14,14,66.4,140,138,365.4,2.7222672051777552,2.0085897404822024,-0.9011297645906889,2.711129764590689,-1.2606194675046667,3.0706194675046667,-0.6964748439252302,-0.4978617483926458
2,GM,Cheerios,Fam,3.16,0.0438,-1.7130160186257266,110,2,1,3.4699999999999998,7.287,4.38,0.2429,1,1,2,2550,7281,18,2440,4731,32.3,80.4,18,30.299999999999997,48.10000000000001,202,505.4,18,201,303.4,18,50,32,0.3069,0.14271749755620722,-1.9468881442432902,13,12,37,1750,1640,5531,14,12,66.4,140,139,365.4,0.8751681858944691,3.554664792709677,-0.8889727117113543,4.048972711711355,-1.1454463103872747,4.305446310387275,-0.36248300961622615,-0.28132047838966906
3,KG,RiceKrispies,Fam,2.96,0.0404,-1.7938200510410225,120,0,3,3.2,6.034,4.04,0.2429,1,2,2,2300,7281,17,2180,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,161,341.4,17,50,33,0.3069,0.13163897034864777,-2.027692176658586,13,12,37,1750,1630,5531,14,14,66.4,140,137,365.4,0.9189379903067039,3.3415255110052082,-0.885822954291785,3.8458229542917852,-1.260619467504666,4.220619467504666,-0.42588495523806286,-0.2992645115850625
4,KG,FrostedFlakes,Fam,2.52,0.0382,-1.8498143203955972,120,0,13,2.68,7.866999999999999,3.82,0.2429,1,2,2,2300,7281,17,2180,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,151,341.4,17,50,33,0.3069,0.12447051156728575,-2.083686446013161,13,12,37,1750,1630,5531,14,14,66.4,140,127,365.4,1.866802611935293,2.85133433832992,-0.8837967425019723,3.403796742501972,-1.2606194675046667,3.7806194675046667,-0.5002458204383597,-0.3507129930563382
5,KG,RaisinBran,Fam,2.34,0.0273,-2.185763133817213,200,1.5,18,2.5,5.591,2.73,0.2429,1,2,2,2300,7281,17,2100,4981,19,80.4,17,17.5,61.400000000000006,164,505.4,17,146,341.4,17,50,33,0.3069,0.08895405669599218,-2.4196352594347763,13,12,37,1750,1550,5531,14,12.5,66.4,140,122,365.4,1.441152595595975,2.67767339821285,-0.8738929854409344,3.213892985440934,-1.260619467504666,3.600619467504666,-0.5387262681643872,-0.37345854078672414
6,GM,Total,Adult,3.61,0.0236,-2.3314031239765622,110,1,5,4.04,3.9259999999999997,2.36,0.2429,1,1,1,2550,7281,18,2440,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,197,303.4,18,50,32,0.3293,0.0716671727907683,-2.6357224773507544,25,24,25,4116,4006,3165,52.6,51.6,27.800000000000004,219.6,214.6,285.79999999999995,-0.14206262034585126,4.146654041975965,-0.8705814286546465,4.480581428654647,-1.1454463103872747,4.755446310387274,-0.3172981469216828,-0.24115829048605167
7,GM,HoneyNutCheerios,Fam,3.14,0.022600000000000002,-2.3746999297298865,120,1.5,11,3.4099999999999997,4.03,2.2600000000000002,0.2429,1,1,2,2550,7281,18,2430,4731,32.3,80.4,18,30.799999999999997,48.10000000000001,202,505.4,18,191,303.4,18,50,32,0.3069,0.07363962202671881,-2.6085720553474503,13,12,37,1750,1630,5531,14,12.5,66.4,140,129,365.4,0.6112105708129252,3.6104789186490223,-0.869690717145894,4.009690717145894,-1.1454463103872745,4.285446310387274,-0.3647918185946734,-0.2769715659700299
8,KG,SpecialK,Adult,3.48,0.0216,-2.4199565213180074,110,0,3,3.7800000000000002,3.5309999999999997,2.16,0.2429,1,2,1,2300,7281,17,2190,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,161,341.4,17,50,33,0.3293,0.06559368357121168,-2.724275874692199,25,24,25,4116,4006,3165,52.6,52.6,27.800000000000004,219.6,216.6,285.79999999999995,-0.23887558657854768,4.005516441495502,-0.8688018263883861,4.348801826388386,-1.2606194675046667,4.740619467504667,-0.36224697342088125,-0.24965569723804198
9,PT,GrapeNuts,Adult,2.14,0.0212,-2.4386486543301604,200,1,7,2.29,6.74,2.12,0.2429,1,4,1,950,7281,6,750,6331,10.7,80.4,6,9.7,69.7,66.5,505.4,6,59.5,438.9,6,50,44,0.3293,0.06437898572730034,-2.7429680077043517,25,24,25,4116,3916,3165,52.6,51.6,27.800000000000004,219.6,212.6,285.79999999999995,0.8567205717966258,2.4641694259460096,-0.8684467786456854,3.0084467786456854,-0.9139186183618931,3.053918618361893,-0.4270647749354641,-0.4058162517035913
10,NB,SpoonSizeShdWt,Adult,2.8099999999999996,0.0208,-2.457696849300855,170,0.5,0,3.05,0.025,2.08,0.2429,1,3,1,486,7281,3,316,6795,2.2,80.4,3,1.7000000000000002,78.2,9.6,505.4,3,9.6,495.79999999999995,3,50,47,0.3293,0.06316428788338901,-2.762016202675046,25,24,25,4116,3946,3165,52.6,52.1,27.800000000000004,219.6,219.6,285.79999999999995,-0.08268140905515331,3.2369840202482316,-0.8680920209746701,3.6780920209746695,-0.8842564308107737,3.694256430810773,-0.3146820038472505,-0.3089295448308435
