model,alpha,price_coef_minus_alpha
OLS,0.22401891912399918,-0.22401891912399918
IV_own,-1.3030094867217485,1.3030094867217485
IV_rival,-1.3030094867185653,1.3030094867185653
IV_both,-1.3030094867202706,1.3030094867202706
GMM_own_1,-1.3030094867217485,1.3030094867217485
GMM_own_2,-1.1764215600758234,1.1764215600758234
GMM_rival_1,-1.3030094867185653,1.3030094867185653
GMM_rival_2,-1.1764215600818488,1.1764215600818488
GMM_both_1,-1.3030094867202706,1.3030094867202706
GMM_both_2,-1.1764215600759371,1.1764215600759371
IV_nested,0.34140742907737476,-0.34140742907737476
GMM_nested_1,0.34140742907737476,-0.34140742907737476
GMM_nested_2,0.4755335452658471,-0.4755335452658471
