pi,b_iv,b_ols,bias_iv,sd_iv,f_fs,cov_iv
1,-1.0125857089818884,-0.7027807083075452,-0.012585708981888377,0.0755965482283716,198.05366486490155,0.936
0.5,-1.0077340210434775,-0.5221768566121985,-0.007734021043477535,0.14342475826635118,53.21464677679372,0.972
0.25,-1.0485891524418498,-0.4337102986227786,-0.0485891524418498,0.35947613931357003,13.605650869130063,0.952
0.1,-2.2423994621408916,-0.41050451600691706,-1.2423994621408916,13.047279896275457,3.121960675790259,0.956
0.05,0.25469528415178916,-0.404091552018802,1.254695284151789,14.860101362010665,1.460790985433194,0.964
0.02,-0.4150817217339071,-0.405013888785238,0.5849182782660929,6.631901856348855,1.1216383401949677,0.968
