model,price_coef_minus_alpha,alpha,alpha_se,gmm_objective,sigma_nested
OLS,-0.22401891912399918,0.22401891912399918,0.19874199297598572,NA,NA
IV_own,1.3030094867217485,-1.3030094867217485,0.8962875095526398,0.20560253374138177,NA
IV_rival,1.3030094867185653,-1.3030094867185653,0.8962875095386454,0.20560253374228188,NA
IV_both,1.3030094867202706,-1.3030094867202706,0.8962875095480328,0.20560253374151127,NA
GMM_own_1,1.3030094867217485,-1.3030094867217485,0.8962875095526398,0.20560253374138177,NA
GMM_own_2,1.1764215600758234,-1.1764215600758234,0.8040155429447498,0.32337683985401466,NA
GMM_rival_1,1.3030094867185653,-1.3030094867185653,0.8962875095386454,0.20560253374228188,NA
GMM_rival_2,1.1764215600818488,-1.1764215600818488,0.8040155429461581,0.3233768398529445,NA
GMM_both_1,1.3030094867202706,-1.3030094867202706,0.8962875095480328,0.20560253374151127,NA
GMM_both_2,1.1764215600759371,-1.1764215600759371,0.8040155429398288,0.32337683985483046,NA
IV_nested,-0.34140742907737476,0.34140742907737476,0.21422269409487316,2.836240355315638,NA
GMM_nested_1,-0.34140742907737476,0.34140742907737476,0.21422269409487316,2.836240355315638,0.41260065160579984
GMM_nested_2,-0.4755335452658471,0.4755335452658471,0.23010297095391397,11.666788419077978,0.37370259282556617
