model,parameter,estimate,std_error,statistic,p_value,objective_gmm,sigma_nested
GMM_both_2,bsugar,-0.04862335766481188,0.028870553469654246,-1.684185158276226,0.09214589064551885,0.3233765692198136,NA
GMM_both_2,bp,1.1764211689432844,0.8040153408018251,1.4631824907346518,0.143417450544929,0.3233765692198136,NA
IV_nested,b0,-0.6720500148956035,1.0088523378138388,-0.6661530034731558,0.5053133086420576,2.836240355315638,NA
IV_nested,cals,0.0020777342158621037,0.0020140688654474914,1.0316103145760445,0.30225470646462554,2.836240355315638,NA
IV_nested,fat,-0.008712308855911954,0.030452859717253294,-0.28609164908660223,0.7748079274341448,2.836240355315638,NA
IV_nested,sugar,-0.02919016960937587,0.010905486077880392,-2.6766500274189813,0.007436226485746682,2.836240355315638,NA
IV_nested,price,-0.34140742907737476,0.21422269409487316,-1.593703367982923,0.1110024895334251,2.836240355315638,NA
IV_nested,log_share_within_nest,0.41260065160579984,0.12451706943859599,3.3136071501367015,9.210081034344036e-4,2.836240355315638,NA
GMM_nested_1,b0,-0.672036416574916,1.0088558916408712,-0.6661371779093946,0.505323423046584,2.836240355499622,0.41260001072555214
GMM_nested_1,bcals,0.0020777131257992115,0.002014074774677563,1.0315968165242706,0.3022610323566178,2.836240355499622,0.41260001072555214
GMM_nested_1,bfat,-0.00871224002647197,0.030452889973921676,-0.2860891046443439,0.7748098761999846,2.836240355499622,0.41260001072555214
GMM_nested_1,bsugar,-0.02918999537707552,0.010905505520803629,-2.6766292787979356,0.007436686953947169,2.836240355499622,0.41260001072555214
GMM_nested_1,bp,-0.3414126580227368,0.21422326027070304,-1.5937235648048256,0.11099796383188609,2.836240355499622,0.41260001072555214
GMM_nested_1,sigma,0.41260001072555214,0.12451721636388967,3.3135980932931237,9.210379331011714e-4,2.836240355499622,0.41260001072555214
GMM_nested_2,b0,-0.25204472050753124,1.166928745655188,-0.2159898120994674,0.8289956889089758,11.666721866049768,0.37370302905554464
GMM_nested_2,bcals,4.706708676134051e-4,0.0029171096485534607,0.16134836338661518,0.8718190337486323,11.666721866049768,0.37370302905554464
GMM_nested_2,bfat,-0.0063385972798695525,0.06968086683302176,-0.09096610831577215,0.9275195210161721,11.666721866049768,0.37370302905554464
GMM_nested_2,bsugar,-0.017259836564299982,0.0097206323356319,-1.7755878391812447,0.07580087585143461,11.666721866049768,0.37370302905554464
GMM_nested_2,bp,-0.4755357515238072,0.23010312172348663,-2.0666201656110315,0.038769959118577176,11.666721866049768,0.37370302905554464
GMM_nested_2,sigma,0.37370302905554464,0.13380690585176913,2.792853079418275,0.005224541545816565,11.666721866049768,0.37370302905554464
