model,price_coef,alpha,std_error_price,gmm_objective,sigma_nested
Q1_MQO_logit_simples,-0.22401891912527933,0.22401891912527933,0.19874199297561188,,
Q2_2SLS_own_firm,1.3030094867343167,-1.3030094867343167,0.8962875095555789,,
Q2_2SLS_rival_firms,1.3030094866664614,-1.3030094866664614,0.8962875095078149,,
Q2_2SLS_both,1.3030094867096929,-1.3030094867096929,0.8962875095628986,,
Q3_GMM_own_firm_step1,1.3030094867041733,-1.3030094867041733,0.8962875095373548,0.20560253373576928,
Q3_GMM_own_firm_2step,1.176421559962868,-1.176421559962868,0.8040155428825243,0.32337683985950216,
Q3_GMM_rival_firms_step1,1.30300948675565,-1.30300948675565,0.8962875095522836,0.20560253368507245,
Q3_GMM_rival_firms_2step,1.1764215597183294,-1.1764215597183294,0.804015542780344,0.3233768402322442,
Q3_GMM_both_step1,1.303009486783297,-1.303009486783297,0.8962875096047223,0.20560253374145085,
Q3_GMM_both_2step,1.1764215600848433,-1.1764215600848433,0.8040155429709536,0.32337683983671683,
Q4_2SLS_nested_reference,-0.34140742907926147,0.34140742907926147,0.2142226940952674,,0.41260065160629245
Q4_nested_GMM_step1,-0.3414074290776625,0.3414074290776625,0.21422269409997766,2.8362403553155993,0.4126006516051177
Q4_nested_GMM_2step,-0.4847716888675677,0.4847716888675677,0.2216022733444435,11.697670101431175,0.3733097071987288
