model,parameter,estimate,std_error,t_stat,p_value,gmm_objective
Q3_GMM_own_firm_2step,fat,-0.06394760667089942,0.11469868300128307,-0.5575269479788542,0.5771674525355392,0.323376839858107
Q3_GMM_own_firm_2step,sugar,-0.048623376075708186,0.028870559215488395,-1.6841854607936675,0.0921458321992703,0.323376839858107
Q3_GMM_own_firm_2step,price,1.176421560003423,0.8040155428880124,1.463182609353214,0.14341741809591535,0.323376839858107
Q3_GMM_rival_firms_step1,const,-7.429019538765926,3.169280461086234,-2.3440713530981463,0.019074521869977046,0.20560253368508757
Q3_GMM_rival_firms_step1,cals,0.008551499387005565,0.006332328479446079,1.3504510094134612,0.1768713581316952,0.20560253368508757
Q3_GMM_rival_firms_step1,fat,-0.07472505329892182,0.12951884682982212,-0.5769434729225534,0.5639776419523956,0.20560253368508757
Q3_GMM_rival_firms_step1,sugar,-0.04993447325718908,0.030828576390547185,-1.619746323171129,0.10528678097162358,0.20560253368508757
Q3_GMM_rival_firms_step1,price,1.3030094867049984,0.8962875095513084,1.4537851669463737,0.14600587714479873,0.20560253368508757
Q3_GMM_rival_firms_2step,const,-7.009838733130672,2.843382777007182,-2.4653165904412337,0.01368922382979365,0.3233768398615345
Q3_GMM_rival_firms_2step,cals,0.00800619212265744,0.005701535854055254,1.4042167457322898,0.16025431678004476,0.3233768398615345
Q3_GMM_rival_firms_2step,fat,-0.06394760667737724,0.11469868300651592,-0.5575269480098951,0.5771674525143373,0.3233768398615345
Q3_GMM_rival_firms_2step,sugar,-0.048623376076934226,0.028870559216535988,-1.6841854607750222,0.09214583220287254,0.3233768398615345
Q3_GMM_rival_firms_2step,price,1.1764215600740158,0.8040155429300141,1.463182609364578,0.14341741809280673,0.3233768398615345
Q3_GMM_both_step1,const,-7.429019538776673,3.16928046100398,-2.3440713531623745,0.01907452186669234,0.20560253374146703
Q3_GMM_both_step1,cals,0.00855149938695271,0.006332328479353339,1.3504510094248923,0.17687135812803056,0.20560253374146703
Q3_GMM_both_step1,fat,-0.07472505329802097,0.1295188468295122,-0.5769434729169786,0.5639776419561617,0.20560253374146703
Q3_GMM_both_step1,sugar,-0.049934473257366864,0.030828576390548396,-1.6197463231768323,0.1052867809703979,0.20560253374146703
Q3_GMM_both_step1,price,1.3030094867115107,0.8962875095301598,1.453785166987943,0.14600587713327018,0.20560253374146703
Q3_GMM_both_2step,const,-7.009838732985799,2.8433827768854774,-2.465316590495805,0.01368922382770843,0.3233768398571058
Q3_GMM_both_2step,cals,0.008006192122400689,0.0057015358538415216,1.4042167457398975,0.16025431677778013,0.3233768398571058
Q3_GMM_both_2step,fat,-0.0639476066738227,0.11469868300352501,-0.557526947993443,0.5771674525255746,0.3233768398571058
Q3_GMM_both_2step,sugar,-0.04862337607623183,0.02887055921590042,-1.6841854607877693,0.09214583220040984,0.3233768398571058
Q3_GMM_both_2step,price,1.1764215600337211,0.8040155428980984,1.4631826093725426,0.1434174180906278,0.3233768398571058
Q4_2SLS_nested_reference,const,-0.6720500149236497,1.0088523378287817,-0.666153003491089,0.5053133086305961,
Q4_2SLS_nested_reference,cals,0.0020777342158923833,0.0020140688654508338,1.0316103145893667,0.30225470645838204,
Q4_2SLS_nested_reference,fat,-0.008712308856310396,0.030452859717388536,-0.28609164909841556,0.7748079274250972,
Q4_2SLS_nested_reference,sugar,-0.0291901696094378,0.010905486077890362,-2.6766500274222134,0.007436226485674879,
Q4_2SLS_nested_reference,price,-0.34140742907149335,0.21422269409769665,-1.593703367934463,0.11100248954428427,
Q4_2SLS_nested_reference,log_share_within_nest,0.412600651603369,0.12451706944005711,3.3136071500782966,0.0009210081036268303,
Q4_nested_GMM_step1,const,-0.6720500149286863,1.008852337827195,-0.6661530034971291,0.5053133086267358,2.8362403553155753
Q4_nested_GMM_step1,cals,0.0020777342158910805,0.0020140688654493215,1.0316103145894944,0.3022547064583223,2.8362403553155753
Q4_nested_GMM_step1,fat,-0.00871230885635832,0.030452859717411764,-0.28609164909977103,0.7748079274240589,2.8362403553155753
Q4_nested_GMM_step1,sugar,-0.029190169609432992,0.0109054860778936,-2.6766500274209775,0.007436226485702413,2.8362403553155753
Q4_nested_GMM_step1,price,-0.3414074290708129,0.2142226940973389,-1.593703367933948,0.11100248954439951,2.8362403553155753
Q4_nested_GMM_step1,log_share_within_nest,0.4126006516022471,0.12451706943985583,3.313607150074643,0.0009210081036388207,2.8362403553155753
Q4_nested_GMM_2step,const,-0.18975652767085194,1.0932007793401308,-0.17357884412174612,0.8621964595513107,11.697670101510308
Q4_nested_GMM_2step,cals,7.981381699551093e-05,0.0019502195459523322,0.04092555484902404,0.9673552446870473,11.697670101510308
Q4_nested_GMM_2step,fat,0.005105214457101326,0.02576703611932467,0.1981296736442472,0.8429436087992959,11.697670101510308
Q4_nested_GMM_2step,sugar,-0.01703686695756268,0.009732661193259386,-1.750483924105158,0.08003484573041786,11.697670101510308
Q4_nested_GMM_2step,price,-0.4847716888607465,0.22160227334204244,-2.187575432100838,0.028700543036917603,11.697670101510308
Q4_nested_GMM_2step,log_share_within_nest,0.37330970719580137,0.1342336685606332,2.781043766431652,0.005418443171898435,11.697670101510308
