"id","firm","product","price","shelf_price","ad_price","share_pct","segment","cals","fat","sugar","share","outside_share","delta","firm_id","segment_id","own_cals","rival_cals","own_fat","rival_fat","own_sugar","rival_sugar","n_products_firm","n_rival_products","nest_share","share_within_nest","log_share_within_nest","n_products_nest","n_same_nest_other","n_rival_nest","nest_own_cals","nest_rival_cals","nest_own_fat","nest_rival_fat","nest_own_sugar","nest_rival_sugar"
22,"GM","GoldenGrahams",3.24,3.54,2.953,1.24,"Kids",120,1,11,0.0124,0.2429,-2.97495336339714,1,3,2430,4731,31.3,48.1,191,303.4,18,32,0.1215,0.102057613168724,-2.28221779016961,12,11,38,1295,5866,12.8,66.6,134.8,359.6
23,"GM","Cinn.ToastCrunch",3.36,3.56,2.963,1.23,"Kids",130,3,10,0.0123,0.2429,-2.98305057362976,1,3,2420,4731,29.3,48.1,192,303.4,18,32,0.1215,0.101234567901235,-2.29031500040223,12,11,38,1285,5866,10.8,66.6,135.8,359.6
24,"KG","FrootLoops",3.53,3.76,3.11,1.2,"Kids",120,1,15,0.012,0.2429,-3.00774318622013,2,3,2180,4981,18,61.4,149,341.4,17,33,0.1215,0.0987654320987654,-2.3150076129926,12,11,38,1295,5866,12.8,66.6,130.8,359.6
25,"KG","LowFatGranola",2.68,3.1,2.327,1.17,"Adult",190,3,12,0.0117,0.2429,-3.03306099420442,2,1,2110,4981,16,61.4,152,341.4,17,33,0.3293,0.0355299119344063,-3.33738034757861,25,24,25,3926,3165,49.6,27.8,207.6,285.8
26,"GM","Trix",3.96,4.22,3.236,1.13,"Kids",120,1.5,13,0.0113,0.2429,-3.06784711028983,1,3,2430,4731,30.8,48.1,189,303.4,18,32,0.1215,0.0930041152263374,-2.37511153706231,12,11,38,1295,5866,12.3,66.6,132.8,359.6
27,"GM","Triples",2.33,2.8,3.036,1.12,"Adult",120,1,6,0.0112,0.2429,-3.07673605770708,1,1,2430,4731,31.3,48.1,196,303.4,18,32,0.3293,0.0340115396295172,-3.38105541108127,25,24,25,3996,3165,51.6,27.8,213.6,285.8
28,"KG","Crispix",3.28,3.49,3.225,1.12,"Adult",110,0,3,0.0112,0.2429,-3.07673605770708,2,1,2190,4981,19,61.4,161,341.4,17,33,0.3293,0.0340115396295172,-3.38105541108127,25,24,25,4006,3165,52.6,27.8,216.6,285.8
29,"GM","Kix",3.67,3.93,3.801,1.08,"Kids",120,0.8,6,0.0108,0.2429,-3.11310370187795,1,3,2430,4731,31.5,48.1,196,303.4,18,32,0.1215,0.0888888888888889,-2.42036812865043,12,11,38,1295,5866,13,66.6,139.8,359.6
30,"GM","LuckyCharms",3.45,3.72,3.079,1.08,"Kids",120,1,13,0.0108,0.2429,-3.11310370187795,1,3,2430,4731,31.3,48.1,189,303.4,18,32,0.1215,0.0888888888888889,-2.42036812865043,12,11,38,1295,5866,12.8,66.6,132.8,359.6
31,"GM","AppleCinn.Cheerios",3.02,3.35,3.12,1.06,"Fam",120,2,13,0.0106,0.2429,-3.13179583489011,1,2,2430,4731,30.3,48.1,189,303.4,18,32,0.3069,0.0345389377647442,-3.36566796050767,13,12,37,1630,5531,12,66.4,127,365.4
32,"KG","CracklinOatBran",3.19,3.51,2.279,1.06,"Adult",190,6,15,0.0106,0.2429,-3.13179583489011,2,1,2110,4981,13,61.4,149,341.4,17,33,0.3293,0.0321894928636502,-3.4361151882643,25,24,25,3926,3165,46.6,27.8,204.6,285.8
33,"NB","BigBiscuitShdWt",2.79,3.05,0,0.99,"Adult",156,1.2,9.6,0.0099,0.2429,-3.20011507886758,3,1,330,6795,1,78.2,0,495.8,3,47,0.3293,0.0300637716368053,-3.50443443224177,25,24,25,3960,3165,51.4,27.8,210,285.8
34,"PT","HoneyBunchesofOats",2.85,3.18,3.749,0.95,"Adult",125,2.2,6,0.0095,0.2429,-3.24135803740163,4,1,825,6331,8.5,69.7,60.5,438.9,6,44,0.3293,0.028849073792894,-3.54567739077582,25,24,25,3991,3165,50.4,27.8,213.6,285.8
35,"PT","GreatGraines",2.9,3.43,2.648,0.89,"Adult",215,5.5,10.5,0.0089,0.2429,-3.30659855927003,4,1,735,6331,5.2,69.7,56,438.9,6,44,0.3293,0.027027027027027,-3.61091791264422,25,24,25,3901,3165,47.1,27.8,209.1,285.8
