software,model,metric,value,stata_value,diff_vs_stata,abs_diff_vs_stata,rel_abs_diff_vs_stata
R,Z1,beta_p,-1.71086037448395,-1.710860374167694,-3.1625591034867284e-10,3.1625591034867284e-10,1.8485196987657527e-10
R,Z1,se_p,0.9790796179650024,0.9406693,0.03841031796500238,0.03841031796500238,0.040832966447403335
R,Z1,pval_p,0.0805650297273149,0.068946637,0.011618392727314894,0.011618392727314894,0.16851282720743715
R,Z1,F_usual,2.6611293923502566,2.661129392642621,-2.923643549479493e-10,2.923643549479493e-10,1.0986476484618375e-10
R,Z1,p_F,0.1093725083589755,0.10937251,-1.6410245107234545e-09,1.6410245107234545e-09,1.5003994246117736e-08
R,Z1,F_eff_MOP,2.6611293926361723,2.6611295,-1.0736382760612173e-07,1.0736382760612173e-07,4.034520965857608e-08
R,Z2,beta_p,-0.2614732498631369,-0.2614732498502075,-1.2929435300179648e-11,1.2929435300179648e-11,4.94484055542456e-11
R,Z2,se_p,0.0814672605108394,0.07827121,0.0031960505108394044,0.0031960505108394044,0.040833028016807264
R,Z2,pval_p,0.0013294290042232,0.00083595881,0.0004934701942231999,0.0004934701942231999,0.5903044364389196
R,Z2,F_usual,29.374477286129647,29.37447728595109,1.7855583678283438e-10,1.7855583678283438e-10,6.0786047371890474e-12
R,Z2,p_F,5.294338670563111e-09,5.2943387e-09,-2.9436888866633784e-17,2.9436888866633784e-17,5.560069072768953e-09
R,Z2,F_eff_MOP,28.913783069741303,28.913782,1.0697413017624058e-06,1.0697413017624058e-06,3.699762631406731e-08
R,Z2,hansen_p,0.0001334653987012711,0.00013346539,8.70127109470556e-12,8.70127109470556e-12,6.519496248956796e-08
R,Z3,beta_p,-0.2558888917523325,-0.2558888917816231,2.9290625480626886e-11,2.9290625480626886e-11,1.1446618599459822e-10
R,Z3,se_p,0.077032043072047,0.074009992,0.003022051072047005,0.003022051072047005,0.04083301444009081
R,Z3,pval_p,0.0008942275466394723,0.00054523029,0.00034899725663947235,0.00034899725663947235,0.640091467844665
R,Z3,F_usual,23.22372947738244,23.22372947737356,8.881784197001252e-12,8.881784197001252e-12,3.824443531197092e-13
R,Z3,p_F,2.662695540881487e-09,2.6626956e-09,-5.91185131795618e-17,5.91185131795618e-17,2.2202505303107793e-08
