model,N,beta_p,se_p,pval_p,ci_low,ci_high,hansen_J,hansen_p,hansen_df
GMM_Z1,52,-1.7108603740787203,0.979079617784748,0.08056502974329265,-3.6298564249368264,0.2081356767793856,,,0
GMM_Z2,52,-0.2823161792787232,0.08038903676253609,0.00044495866835082506,-0.43987869133329394,-0.12475366722415249,14.592206210190454,0.0001334653986918115,1
