model,N,k_inst,partial_R2,F_usual,p_F
Z1,52,1,0.0412944745206999,2.6611293924164228,0.10937250835468393
Z2,52,2,0.6054778587780618,29.37447728615041,5.29433867051426e-09
Z3,52,3,0.6266675816145998,23.223729477110876,2.662695541307039e-09
Z4,51,1,0.017883962828133204,0.9976750086005763,0.32298863555984686
Z5,51,2,0.49823013840152086,24.222378037122155,6.521381323275575e-08
Z6,51,2,0.061591546334620495,1.7238083864601939,0.18970847790775153
Z7,51,4,0.6099721005655941,17.30943284867974,1.3429803864465251e-08
