"model","price_coef","alpha","std_error_price","gmm_objective","sigma_nested"
"Q1_MQO_logit_simples",-0.224018919124807,0.224018919124807,0.198741992975932,NA,NA
"Q2_2SLS_own_firm",1.30300948666023,-1.30300948666023,0.89628750950676,NA,NA
"Q2_2SLS_rival_firms",1.37712070783803,-1.37712070783803,0.988742624401249,NA,NA
"Q2_2SLS_both",1.30300948677747,-1.30300948677747,0.896287509567582,NA,NA
"Q3_GMM_own_2step_step1",1.30300948673266,-1.30300948673266,0.896287509546066,0.205602533730305,NA
"Q3_GMM_own_2step",1.17642155994315,-1.17642155994315,0.804015542836444,0.323376839874806,NA
"Q3_GMM_rival_2step_step1",1.37712070782538,-1.37712070782538,0.988742624393933,0.115321716502512,NA
"Q3_GMM_rival_2step",1.27858157615526,-1.27858157615526,0.90215393634385,0.192916791608562,NA
"Q3_GMM_both_2step_step1",1.30300948679121,-1.30300948679121,0.896287509580438,0.205602533741571,NA
"Q3_GMM_both_2step",1.17642156007707,-1.17642156007707,0.804015542917844,0.323376839833616,NA
"Q4_2SLS_nested_reference",-0.341407429077601,0.341407429077601,0.214222694092816,NA,0.412600651605825
"Q4_nested_GMM_2step_step1",-0.341407429074629,0.341407429074629,0.214222694092142,2.83624035531569,0.41260065160651
"Q4_nested_GMM_2step",-0.484771688863319,0.484771688863319,0.221602273335123,11.6976701014896,0.373309707196512
