idProduct,firm,product,segment,price,neg_price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar,xi_gmm_both,own_elasticity_simple_logit,markup_monoproduct,mc_monoproduct,markup_multiproduct,mc_multiproduct,markup_multi_over_price,markup_mono_over_price
11,QK,100%Natural,Adult,2.24,-2.24,0.0196,-2.517120269771655,220.0,8.0,13.5,2.55,1.612,1.96,0.2429,1.0,5,1,665.0,7281.0,4,445.0,6616.0,13.5,80.4,4,5.5,66.9,47.3,505.40000000000003,4,33.8,458.1,4,50,46,0.3293,0.05952019435165503,-2.821439623145847,25,24,25,4116.0,3896.0,3165.0,52.6,44.6,27.800000000000004,219.6,206.1,285.80000000000007,4.490537838689104,11.376384286083631,-0.1968991151907659,2.436899115190766,-0.2019245737793168,2.441924573779317,-0.09014489900862356,-0.08790139071016334
12,KG,FrostedMiniWheats,Adult,2.62,-2.62,0.0184,-2.580299171393187,170.0,1.0,10.0,2.75,6.106,1.84,0.2429,1.0,2,1,2300.0,7281.0,17,2130.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,154.0,341.40000000000003,17,50,33,0.3293,0.055876100819921046,-2.8846185247673786,25,24,25,4116.0,3946.0,3165.0,52.6,51.6,27.800000000000004,219.6,209.6,285.80000000000007,1.0125796455318898,13.322593409338934,-0.19665840722598502,2.8166584072259853,-0.2862819109195119,2.906281910919512,-0.1092679049311114,-0.07506046077327672
13,KG,NutriGrain,Adult,2.87,-2.87,0.0155,-2.751809812082926,100.0,1.0,0.0,3.1,2.508,1.55,0.2429,1.0,2,1,2300.0,7281.0,17,2200.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,164.0,341.40000000000003,17,50,33,0.3293,0.047069541451563925,-3.0561291654571177,25,24,25,4116.0,4016.0,3165.0,52.6,51.6,27.800000000000004,219.6,219.6,285.80000000000007,0.8232664655528676,14.636948678971045,-0.19607911887559867,3.066079118875599,-0.28628191091951194,3.156281910919512,-0.09974979474547455,-0.06832025047930267
14,KG,Mueslix,Adult,3.31,-3.31,0.015300000000000001,-2.7647970076097375,200.0,4.0,13.0,3.58,1.975,1.53,0.2429,1.0,2,1,2300.0,7281.0,17,2100.0,4981.0,19.0,80.4,17,15.0,61.400000000000006,164.0,505.40000000000003,17,151.0,341.40000000000003,17,50,33,0.3293,0.046462192529608266,-3.0691163609839287,25,24,25,4116.0,3916.0,3165.0,52.6,48.6,27.800000000000004,219.6,206.6,285.80000000000007,-2.2432499355487785,16.884370153917082,-0.19603929372705076,3.506039293727051,-0.2862819109195119,3.596281910919512,-0.08649000329894618,-0.05922637272720566
15,GM,Wheaties,Fam,2.55,-2.55,0.0152,-2.7713544081558963,110.0,1.0,4.0,2.86,2.257,1.52,0.2429,1.0,1,2,2550.0,7281.0,18,2440.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,198.0,303.40000000000003,18,50,32,0.3069,0.04952753339850114,-3.0052265337734596,13,12,37,1750.0,1640.0,5531.0,14.0,13.0,66.4,140.0,136.0,365.40000000000003,2.6487969239832516,13.008917312624156,-0.19601938721875192,2.7460193872187517,-0.26012652275033943,2.8101265227503394,-0.10201040107856449,-0.07687034792892233
16,PT,RaisinBran,Fam,2.23,-2.23,0.0146,-2.8116283072938364,190.0,1.0,20.0,2.57,4.361,1.46,0.2429,1.0,4,2,950.0,7281.0,6,760.0,6331.0,10.7,80.4,6,9.7,69.7,66.5,505.40000000000003,6,46.5,438.90000000000003,6,50,44,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750.0,1560.0,5531.0,14.0,13.0,66.4,140.0,120.0,365.40000000000003,3.4639951626704555,11.383356938121187,-0.19590003301504658,2.4259000330150466,-0.20754745998605195,2.437547459986052,-0.09307060985921613,-0.08784754843724062
17,RL,Muesli,Adult,3.34,-3.34,0.0126,-2.9589530220506948,210.0,2.7,14.0,3.93,0.215,1.26,0.2429,1.0,6,1,330.0,7281.0,2,120.0,6951.0,2.7,80.4,2,0.0,77.7,16.0,505.40000000000003,2,2.0,489.40000000000003,2,50,48,0.3293,0.038262982083206803,-3.2632723754248865,25,24,25,4116.0,3906.0,3165.0,52.6,49.9,27.800000000000004,219.6,205.6,285.80000000000007,-3.3722568442891756,17.084116431715092,-0.19550323327225733,3.5355032332722574,-0.19728144356977703,3.537281443569777,-0.05906630046999312,-0.05853390217732256
18,KG,CornPops,Fam,3.51,-3.51,0.0146,-2.8116283072938364,120.0,0.0,14.0,3.69,3.198,1.46,0.2429,1.0,2,2,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,150.0,341.40000000000003,17,50,33,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750.0,1630.0,5531.0,14.0,14.0,66.4,140.0,126.0,365.40000000000003,-1.725959967222746,17.91730172771541,-0.19590003301504658,3.7059000330150464,-0.28628191091951194,3.796281910919512,-0.08156179798276694,-0.05581197521796199
19,GM,RaisinNutBran,Adult,2.98,-2.98,0.013500000000000002,-2.889960150563743,210.0,4.5,16.0,3.22,1.659,1.35,0.2429,1.0,1,1,2550.0,7281.0,18,2340.0,4731.0,32.3,80.4,18,27.799999999999997,48.10000000000001,202.0,505.40000000000003,18,186.0,303.40000000000003,18,50,32,0.3293,0.04099605223200729,-3.194279503937935,25,24,25,4116.0,3906.0,3165.0,52.6,48.1,27.800000000000004,219.6,203.6,285.80000000000007,-0.40946948957220997,15.228821159320939,-0.19568159405273886,3.175681594052739,-0.2601265227503394,3.2401265227503395,-0.0872907794464226,-0.0656649644472278
20,GM,Basic4,Adult,3.27,-3.27,0.0131,-2.9200376058010216,210.0,3.0,12.0,3.63,2.51,1.31,0.2429,1.0,1,1,2550.0,7281.0,18,2340.0,4731.0,32.3,80.4,18,29.299999999999997,48.10000000000001,202.0,505.40000000000003,18,190.0,303.40000000000003,18,50,32,0.3293,0.03978135438809596,-3.224356959175213,25,24,25,4116.0,3906.0,3165.0,52.6,49.6,27.800000000000004,219.6,207.6,285.80000000000007,-3.134847168866191,16.717596335419994,-0.19560228243289784,3.465602282432898,-0.26012652275033943,3.5301265227503396,-0.07954939533649524,-0.05981721175317977
21,GM,CocoaPus,Kids,3.46,-3.46,0.0128,-2.943204665082556,120.0,1.0,14.0,3.67,2.097,1.28,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,188.0,303.40000000000003,18,50,32,0.1215,0.10534979423868314,-2.2504690918550314,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,131.8,359.6,-1.186727319467991,17.69433227080569,-0.19554284089650212,3.6555428408965023,-0.2601265227503394,3.7201265227503395,-0.07518107593940444,-0.05651527193540524
22,GM,GoldenGrahams,Kids,3.24,-3.24,0.0124,-2.9749533633971357,120.0,1.0,11.0,3.54,2.953,1.24,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,191.0,303.40000000000003,18,50,32,0.1215,0.10205761316872428,-2.282217790169612,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,134.8,359.6,-0.5103106761947664,16.57597275885629,-0.19546364168998268,3.435463641689983,-0.26012652275033943,3.5001265227503398,-0.08028596381183316,-0.06032828447221687
23,GM,Cinn.ToastCrunch,Kids,3.36,-3.36,0.0123,-2.9830505736297557,130.0,3.0,10.0,3.56,2.963,1.23,0.2429,1.0,1,3,2550.0,7281.0,18,2420.0,4731.0,32.3,80.4,18,29.299999999999997,48.10000000000001,202.0,505.40000000000003,18,192.0,303.40000000000003,18,50,32,0.1215,0.10123456790123457,-2.2903150004022312,12,11,38,1415.0,1285.0,5866.0,13.8,10.8,66.60000000000001,145.8,135.8,359.6,-0.848223189649957,17.19163824872216,-0.19544385191153882,3.5554438519115386,-0.2601265227503395,3.6201265227503394,-0.07741860796141056,-0.05816781306891036
24,KG,FrootLoops,Kids,3.53,-3.53,0.012,-3.007743186220127,120.0,1.0,15.0,3.76,3.11,1.2,0.2429,1.0,2,3,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,149.0,341.40000000000003,17,50,33,0.1215,0.09876543209876544,-2.315007612992603,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,130.8,359.6,-1.4700533664603448,18.066939191873537,-0.1953845066123754,3.725384506612375,-0.28628191091951194,3.816281910919512,-0.08109969147861529,-0.05534971858707519
25,KG,LowFatGranola,Adult,2.68,-2.68,0.011699999999999999,-3.0330609942044164,190.0,3.0,12.0,3.1,2.327,1.17,0.2429,1.0,2,1,2300.0,7281.0,17,2110.0,4981.0,19.0,80.4,17,16.0,61.400000000000006,164.0,505.40000000000003,17,152.0,341.40000000000003,17,50,33,0.3293,0.035529911934406314,-3.337380347578608,25,24,25,4116.0,3926.0,3165.0,52.6,49.6,27.800000000000004,219.6,207.6,285.80000000000007,0.5843738870824708,13.72070801141193,-0.19532519734192744,2.875325197341928,-0.28628191091951205,2.966281910919512,-0.10682160855205673,-0.0728825363216147
26,GM,Trix,Kids,3.96,-3.96,0.0113,-3.067847110289832,120.0,1.5,13.0,4.22,3.236,1.13,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,30.799999999999997,48.10000000000001,202.0,505.40000000000003,18,189.0,303.40000000000003,18,50,32,0.1215,0.09300411522633745,-2.3751115370623084,12,11,38,1415.0,1295.0,5866.0,13.8,12.3,66.60000000000001,145.8,132.8,359.6,-3.839442195443855,20.28208754483297,-0.1952461743026468,4.155246174302647,-0.2601265227503394,4.2201265227503395,-0.06568851584604529,-0.049304589470365354
27,GM,Triples,Adult,2.33,-2.33,0.011200000000000002,-3.0767360577070777,120.0,1.0,6.0,2.8,3.036,1.12,0.2429,1.0,1,1,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,196.0,303.40000000000003,18,50,32,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116.0,3996.0,3165.0,52.6,51.6,27.800000000000004,219.6,213.6,285.80000000000007,3.3827990440822653,11.93485952446761,-0.19522642853259192,2.525226428532592,-0.2601265227503394,2.5901265227503396,-0.11164228444220574,-0.08378816675218537
28,KG,Crispix,Adult,3.28,-3.28,0.011200000000000002,-3.0767360577070777,110.0,0.0,3.0,3.49,3.225,1.12,0.2429,1.0,2,1,2300.0,7281.0,17,2190.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,161.0,341.40000000000003,17,50,33,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116.0,4006.0,3165.0,52.6,52.6,27.800000000000004,219.6,216.6,285.80000000000007,-1.9938135070151546,16.801003965774147,-0.19522642853259192,3.475226428532592,-0.28628191091951194,3.566281910919512,-0.08728107040229023,-0.05952025260139998
29,GM,Kix,Kids,3.67,-3.67,0.0108,-3.113103701877953,120.0,0.8,6.0,3.93,3.801,1.08,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.499999999999996,48.10000000000001,202.0,505.40000000000003,18,196.0,303.40000000000003,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415.0,1295.0,5866.0,13.8,13.0,66.60000000000001,145.8,139.8,359.6,-3.6774980163157824,18.806288961121787,-0.19514748537507773,3.865147485375078,-0.2601265227503394,3.9301265227503395,-0.07087916151235406,-0.0531737017370784
30,GM,LuckyCharms,Kids,3.45,-3.45,0.0108,-3.113103701877953,120.0,1.0,13.0,3.72,3.079,1.08,0.2429,1.0,1,3,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,189.0,303.40000000000003,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,132.8,359.6,-1.4486554145492896,17.67893648933792,-0.19514748537507773,3.645147485375078,-0.2601265227503395,3.7101265227503397,-0.07539899210154767,-0.05656448851451528
31,GM,AppleCinn.Cheerios,Fam,3.02,-3.02,0.0106,-3.131795834890106,120.0,2.0,13.0,3.35,3.12,1.06,0.2429,1.0,1,2,2550.0,7281.0,18,2430.0,4731.0,32.3,80.4,18,30.299999999999997,48.10000000000001,202.0,505.40000000000003,18,189.0,303.40000000000003,18,50,32,0.3069,0.03453893776474422,-3.365667960507669,13,12,37,1750.0,1630.0,5531.0,14.0,12.0,66.4,140.0,127.0,365.40000000000003,1.1719664908730287,15.478603726889196,-0.19510803773299665,3.2151080377329966,-0.2601265227503394,3.2801265227503396,-0.08613461018223158,-0.06460531050761478
32,KG,CracklinOatBran,Adult,3.19,-3.19,0.0106,-3.131795834890106,190.0,6.0,15.0,3.51,2.279,1.06,0.2429,1.0,2,1,2300.0,7281.0,17,2110.0,4981.0,19.0,80.4,17,13.0,61.400000000000006,164.0,505.40000000000003,17,149.0,341.40000000000003,17,50,33,0.3293,0.03218949286365017,-3.436115188264297,25,24,25,4116.0,3926.0,3165.0,52.6,46.6,27.800000000000004,219.6,204.6,285.80000000000007,-0.4894208955922821,16.349915857210775,-0.19510803773299665,3.3851080377329965,-0.28628191091951194,3.476281910919512,-0.08974354574279371,-0.06116239427366666
33,NB,BigBiscuitShdWt,Adult,2.79,-2.79,0.009899999999999999,-3.200115078867583,156.0,1.2,9.6,3.05,0.0,0.99,0.2429,1.0,3,1,486.0,7281.0,3,330.0,6795.0,2.2,80.4,3,1.0000000000000002,78.2,9.6,505.40000000000003,3,0.0,495.8,3,50,47,0.3293,0.030063771636805344,-3.504434432241774,25,24,25,4116.0,3960.0,3165.0,52.6,51.4,27.800000000000004,219.6,210.0,285.80000000000007,0.08006001469846957,14.309886748032607,-0.1949700964882607,2.9849700964882606,-0.20081128943412765,2.9908112894341277,-0.071975372557035,-0.0698817550137135
34,PT,HoneyBunchesofOats,Adult,2.85,-2.85,0.0095,-3.241358037401632,125.0,2.2,6.0,3.18,3.749,0.95,0.2429,1.0,4,1,950.0,7281.0,6,825.0,6331.0,10.7,80.4,6,8.5,69.7,66.5,505.40000000000003,6,60.5,438.90000000000003,6,50,44,0.3293,0.028849073792894017,-3.5456773907758237,25,24,25,4116.0,3991.0,3165.0,52.6,50.4,27.800000000000004,219.6,213.6,285.80000000000007,0.8246172159377707,14.623531763088971,-0.19489136045737193,3.044891360457372,-0.20754745998605184,3.057547459986052,-0.0728236701705445,-0.0683829334938147
35,PT,GreatGraines,Adult,2.9,-2.9,0.0089,-3.306598559270033,215.0,5.5,10.5,3.43,2.648,0.89,0.2429,1.0,4,1,950.0,7281.0,6,735.0,6331.0,10.7,80.4,6,5.199999999999999,69.7,66.5,505.40000000000003,6,56.0,438.90000000000003,6,50,44,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,3901.0,3165.0,52.6,47.1,27.800000000000004,219.6,209.1,285.80000000000007,-0.9849359651082459,14.889098632855172,-0.1947733755756502,3.09477337557565,-0.20754745998605187,3.1075474599860518,-0.07156808965036271,-0.06716323295712076
36,GM,OtmlRaisinCrisp,Adult,2.71,-2.71,0.0097,-3.22052395049879,210.0,2.5,19.0,3.04,1.641,0.97,0.2429,1.0,1,1,2550.0,7281.0,18,2340.0,4731.0,32.3,80.4,18,29.799999999999997,48.10000000000001,202.0,505.40000000000003,18,183.0,303.40000000000003,18,50,32,0.3293,0.029456422714849682,-3.5248433038729816,25,24,25,4116.0,3906.0,3165.0,52.6,50.1,27.800000000000004,219.6,200.6,285.80000000000007,0.2665464352013771,13.902375124565756,-0.19493072052209118,2.904930720522091,-0.26012652275033943,2.9701265227503395,-0.09598764677134296,-0.07193015517420338
37,QK,OatSquares,Adult,2.43,-2.43,0.009399999999999999,-3.251940146732169,220.0,3.0,9.0,2.71,1.472,0.94,0.2429,1.0,5,1,665.0,7281.0,4,445.0,6616.0,13.5,80.4,4,10.5,66.9,47.3,505.40000000000003,4,38.3,458.1,4,50,46,0.3293,0.028545399331916185,-3.5562595001063606,25,24,25,4116.0,3896.0,3165.0,52.6,49.6,27.800000000000004,219.6,210.6,285.80000000000007,0.06524631775985767,12.469743784115314,-0.19487168638504632,2.6248716863850463,-0.2019245737793168,2.631924573779317,-0.08309653241947193,-0.08019410962347584
38,RL,RiceChex,Adult,3.4,-3.4,0.0089,-3.306598559270033,120.0,0.0,2.0,3.53,0.875,0.89,0.2429,1.0,6,1,330.0,7281.0,2,210.0,6951.0,2.7,80.4,2,2.7,77.7,16.0,505.40000000000003,2,14.0,489.40000000000003,2,50,48,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,3996.0,3165.0,52.6,52.6,27.800000000000004,219.6,217.6,285.80000000000007,-3.377081682653156,17.456184604037094,-0.1947733755756502,3.59477337557565,-0.19728144356977706,3.597281443569777,-0.058023953991110905,-0.05728628693401477
39,GM,TotalRaisinBran,Adult,3.0,-3.0,0.0089,-3.306598559270033,180.0,1.0,19.0,3.5,1.874,0.89,0.2429,1.0,1,1,2550.0,7281.0,18,2370.0,4731.0,32.3,80.4,18,31.299999999999997,48.10000000000001,202.0,505.40000000000003,18,183.0,303.40000000000003,18,50,32,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,3936.0,3165.0,52.6,51.6,27.800000000000004,219.6,200.6,285.80000000000007,-0.7756790579361841,15.402515827091557,-0.1947733755756502,3.19477337557565,-0.2601265227503394,3.2601265227503395,-0.08670884091677979,-0.06492445852521674
40,KG,Product19,Adult,3.38,-3.38,0.0089,-3.306598559270033,100.0,0.0,4.0,3.7,1.408,0.89,0.2429,1.0,2,1,2300.0,7281.0,17,2200.0,4981.0,19.0,80.4,17,19.0,61.400000000000006,164.0,505.40000000000003,17,160.0,341.40000000000003,17,50,33,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116.0,4016.0,3165.0,52.6,52.6,27.800000000000004,219.6,215.6,285.80000000000007,-2.2099311430189026,17.35350116518982,-0.1947733755756502,3.57477337557565,-0.28628191091951194,3.666281910919512,-0.08469879021287335,-0.057625259046050356
41,KG,AppleJacks,Kids,3.64,-3.64,0.0084,-3.3644181301588594,120.0,1.0,16.0,3.91,1.465,0.84,0.2429,1.0,2,3,2300.0,7281.0,17,2180.0,4981.0,19.0,80.4,17,18.0,61.400000000000006,164.0,505.40000000000003,17,148.0,341.40000000000003,17,50,33,0.1215,0.0691358024691358,-2.6716825569313354,12,11,38,1415.0,1295.0,5866.0,13.8,12.8,66.60000000000001,145.8,129.8,359.6,-2.252726892347656,18.69781397325669,-0.1946751639098698,3.83467516390987,-0.28628191091951194,3.926281910919512,-0.07864887662623954,-0.053482187887326865
42,QK,CaptCrunch,Kids,2.55,-2.55,0.0083,-3.3763943212055745,105.0,1.5,11.5,2.86,1.714,0.83,0.2429,1.0,5,3,665.0,7281.0,4,560.0,6616.0,13.5,80.4,4,12.0,66.9,47.3,505.40000000000003,4,35.8,458.1,4,50,46,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1415.0,1310.0,5866.0,13.8,12.3,66.60000000000001,145.8,134.3,359.6,3.5223636127089453,13.100064275923412,-0.19465553346075112,2.744655533460751,-0.20192457377931686,2.7519245737793168,-0.07918610736443799,-0.07633550331794162
43,NB,ShreddedWheat,Adult,2.82,-2.82,0.008,-3.4132082943282915,160.0,0.5,0.0,3.0,2.925,0.8,0.2429,1.0,3,1,486.0,7281.0,3,326.0,6795.0,2.2,80.4,3,1.7000000000000002,78.2,9.6,505.40000000000003,3,9.6,495.8,3,50,47,0.3293,0.024293956878226542,-3.717527647702483,25,24,25,4116.0,3956.0,3165.0,52.6,52.1,27.800000000000004,219.6,219.6,285.80000000000007,-2.112659890194392,14.491512418975214,-0.19459666585990615,3.014596665859906,-0.20081128943412763,3.0208112894341275,-0.07120967710430058,-0.06900590987939935
