model,N,beta_p,se_p,pval_p,ci_low,ci_high,hansen_J,hansen_p,hansen_df
GMM_Z1,52,-1.710860374160349,.9406693,.068946637,-3.5545382,.13281752,,,0
GMM_Z2,52,-.2823161793160932,.078080803,.00029954559,-.43535173,-.12928063,14.5922062100864,.00013346539,1
