preco,instrumento,F_excluidos,p_valor,r2_full,r2_reduzido,r2_parcial,N
bfvl,L1,462.54652014997475,4.0350081561980807e-29,0.98326138607036,0.07239225368343066,0.9819550731479905,40
pork,L1,360.07455660192187,2.5995581137037653e-27,0.9788145466354524,0.08136246114719879,0.9769381802195847,40
poult,L1,358.5011054356303,2.7953984518013053e-27,0.9786036737912809,0.07617936813396664,0.9768393068192247,40
fish,L1,4722.918488735793,3.800174910760671e-46,0.9983475870435572,0.0802050337482289,0.9982034985871074,40
bfvl,L1_L2,252.52769565212546,1.1017204471094634e-24,0.9863466198163429,0.03521375481183668,0.9858482847866531,39
pork,L1_L2,275.2930102928458,3.216041028985966e-25,0.9874537027155257,0.03465151030947983,0.9870033491340557,39
poult,L1_L2,161.61470899197113,6.208623090044049e-22,0.9788616674876454,0.03644361022979718,0.978062173904118,39
fish,L1_L2,2805.6525687334815,9.472671490845834e-40,0.9987591891624555,0.03840495090902981,0.998709632668432,39
