preco,instrumento,F_excluidos,p_valor,r2_full,r2_reduzido,r2_parcial,N
bfvl,L1,462.54652014997424,4.0350081561981804e-29,0.98326138607036,0.07239225368343172,0.9819550731479904,40
pork,L1,360.0745566019224,2.599558113703713e-27,0.9788145466354525,0.08136246114719992,0.9769381802195848,40
poult,L1,358.50110543563164,2.7953984518011424e-27,0.978603673791281,0.07617936813396797,0.9768393068192248,40
fish,L1,4722.918488735795,3.800174910760623e-46,0.9983475870435572,0.08020503374822918,0.9982034985871074,40
bfvl,L1_L2,252.52769565212563,1.10172044710945e-24,0.9863466198163429,0.03521375481183664,0.9858482847866531,39
pork,L1_L2,275.29301029284574,3.216041028985958e-25,0.9874537027155256,0.03465151030947988,0.9870033491340556,39
poult,L1_L2,161.6147089919715,6.208623090043801e-22,0.9788616674876455,0.036443610229797474,0.9780621739041181,39
fish,L1_L2,2805.6525687334956,9.472671490845182e-40,0.9987591891624557,0.0384049509090294,0.9987096326684322,39
