modelo,parametro,estimativa_PY,erro_padrao_PY,estat_t_PY,estimativa_Stata,erro_padrao_Stata,estat_t_Stata,dif_estimativa,abs_dif_estimativa,dif_erro_padrao,abs_dif_erro_padrao,dif_estat_t,abs_dif_estat_t
homog_simetria,a_bfvl,0.2924221584573843,0.2728471045060688,1.0717436748568467,0.2924221963525899,0.27284706,1.071744,-3.789520564012605e-08,3.789520564012605e-08,4.4506068830330037e-08,4.4506068830330037e-08,-3.2514315329024157e-07,3.2514315329024157e-07
homog_simetria,a_fish,0.1742444281643429,0.1470430202619454,1.184989453113384,0.1742442000069364,0.147043,1.184988,2.2815740649551053e-07,2.2815740649551053e-07,2.026194539928028e-08,2.026194539928028e-08,1.4531133840645083e-06,1.4531133840645083e-06
homog_simetria,a_pork,0.3756635454216166,0.0980485858670075,3.8314019738251432,0.3756636242966219,0.098048598,3.8314023,-7.887500530490144e-08,7.887500530490144e-08,-1.2132992499580553e-08,1.2132992499580553e-08,-3.2617485690167314e-07,3.2617485690167314e-07
homog_simetria,b_bfvl,0.1307326205015897,0.2030335252811554,0.6438967176507165,0.1307325924485991,0.20303349,0.6438967,2.8052990597160488e-08,2.8052990597160488e-08,3.5281155386091e-08,3.5281155386091e-08,1.765071655501771e-08,1.765071655501771e-08
homog_simetria,b_fish,-0.043314568917367,0.1094093392939817,-0.3958946210339619,-0.0433143990521144,0.10940933,-0.3958931,-1.6986525259998775e-07,1.6986525259998775e-07,9.293981695357445e-09,9.293981695357445e-09,-1.5210339618931812e-06,1.5210339618931812e-06
homog_simetria,b_pork,-0.0994566177063234,0.0729479885412877,-1.3633908171440812,-0.0994566761991388,0.072948001,-1.3633914,5.8492815396826714e-08,5.8492815396826714e-08,-1.2458712297935826e-08,1.2458712297935826e-08,5.828559188625348e-07,5.828559188625348e-07
homog_simetria,g11,-0.1072270709455711,0.0642449033083226,-1.6690362258149796,-0.1072270640147223,0.064244896,-1.6690364,-6.9308487976593725e-09,6.9308487976593725e-09,7.308322599874906e-09,7.308322599874906e-09,1.7418502040733586e-07,1.7418502040733586e-07
homog_simetria,g12,-0.1023289183447779,0.0324541778689759,-3.1530275934858163,-0.1023288381477942,0.032454178,-3.1530252,-8.019698370664852e-08,8.019698370664852e-08,-1.3102410129084419e-10,1.3102410129084419e-10,-2.393485816210017e-06,2.393485816210017e-06
homog_simetria,g14,-0.1495250655983717,0.0259871915921255,-5.7537985614297655,-0.1495250782698731,0.025987189,-5.7537994,1.2671501403715979e-08,1.2671501403715979e-08,2.592125500355813e-09,2.592125500355813e-09,8.38570234584779e-07,8.38570234584779e-07
homog_simetria,g22,-0.0165288265974936,0.0955957453938332,-0.1729033706405924,-0.0165286500673276,0.095595747,-0.17290153,-1.765301659989449e-07,1.765301659989449e-07,-1.606166796785935e-09,1.606166796785935e-09,-1.840640592415399e-06,1.840640592415399e-06
homog_simetria,g24,-0.0059633070353157,0.0226273346161819,-0.2635443871966753,-0.0059633676362441,0.022627335,-0.26354706,6.060092839956649e-08,6.060092839956649e-08,-3.8381809883136775e-10,3.8381809883136775e-10,2.672803324721418e-06,2.672803324721418e-06
homog_simetria,g44,0.167903349745516,0.0167834561999244,10.004098544748576,0.1679033684319805,0.016783455,10.0041,-1.8686464514638956e-08,1.8686464514638956e-08,1.1999243994254005e-09,1.1999243994254005e-09,-1.4552514233656666e-06,1.4552514233656666e-06
homog_simetria_L2,a_bfvl,0.2091402369225932,0.2819186133972697,0.7418461463127309,,,,,,,,,
homog_simetria_L2,a_fish,0.1941037808854844,0.1509356307733776,1.2860037082756264,,,,,,,,,
homog_simetria_L2,a_pork,0.3779741503068408,0.097501915051241,3.876581809784974,,,,,,,,,
homog_simetria_L2,b_bfvl,0.1932208703180009,0.2099427313019981,0.9203503694541196,,,,,,,,,
homog_simetria_L2,b_fish,-0.0582973271571063,0.1123867290332802,-0.5187207391705758,,,,,,,,,
homog_simetria_L2,b_pork,-0.1015417292979918,0.072622458141203,-1.3982138844785426,,,,,,,,,
homog_simetria_L2,g11,-0.1106432975087796,0.0626060784280618,-1.7672932131648431,,,,,,,,,
homog_simetria_L2,g12,-0.0982363503152781,0.0290135914270832,-3.3858734987071526,,,,,,,,,
homog_simetria_L2,g14,-0.1452786997452193,0.0258982236126635,-5.609600948621896,,,,,,,,,
homog_simetria_L2,g22,-0.0150134486613424,0.0684873690398964,-0.2192148548237644,,,,,,,,,
homog_simetria_L2,g24,0.0034449528153182,0.0160539791370597,0.2145856043481281,,,,,,,,,
homog_simetria_L2,g44,0.1664643215253036,0.0171299839626718,9.717716133771548,,,,,,,,,
homogeneidade,a_bfvl,0.4067852572243282,0.2359860467081841,1.7237682604486833,0.4067851410270495,0.23598607,1.7237676,1.1619727868783514e-07,1.1619727868783514e-07,-2.32918158926676e-08,2.32918158926676e-08,6.60448683298398e-07,6.60448683298398e-07
homogeneidade,a_fish,0.187755280824831,0.070339040675712,2.66928975745418,0.1877552835908912,0.070339054,2.6692894,-2.766060186454311e-09,2.766060186454311e-09,-1.3324287992388939e-08,1.3324287992388939e-08,3.5745418003330087e-07,3.5745418003330087e-07
homogeneidade,a_pork,0.3758174578392754,0.0971834032329536,3.8670950526235592,0.3758175096791041,0.097183384,3.8670962,-5.183982870748949e-08,5.183982870748949e-08,1.9232953604730874e-08,1.9232953604730874e-08,-1.1473764409686282e-06,1.1473764409686282e-06
homogeneidade,b_bfvl,0.0460440731640119,0.1755731865378497,0.2622500284466035,0.0460441599620479,0.1755732,0.26225051,-8.679803600170066e-08,8.679803600170066e-08,-1.3462150311172039e-08,1.3462150311172039e-08,-4.815533964919183e-07,4.815533964919183e-07
