produto_linha,bfvl_R,pork_R,poult_R,fish_R,bfvl_Stata,pork_Stata,poult_Stata,fish_Stata,dif_bfvl,abs_dif_bfvl,dif_pork,abs_dif_pork,dif_poult,abs_dif_poult,dif_fish,abs_dif_fish
bfvl,-0.7624014490759513,0.0232587018678318,0.9428737180280196,-0.20373097081990027,-0.7624014331293296,0.0232588735706687,0.942873557031797,-0.2037309974731359,-1.5946621689799656e-8,1.5946621689799656e-8,-1.7170283689998955e-7,1.7170283689998955e-7,1.6099622257570445e-7,1.6099622257570445e-7,2.6653235618567805e-8,2.6653235618567805e-8
pork,0.04483878962792581,-0.8258992080210293,0.689314181374082,0.09174623701902146,0.0448391207727815,-0.8258984799153355,0.6893133722866508,0.0917459868559032,-3.311448556891916e-7,3.311448556891916e-7,-7.28105693847958e-7,7.28105693847958e-7,8.09087431163924e-7,8.09087431163924e-7,2.501631182622033e-7,2.501631182622033e-7
poult,2.5285506218959495,0.9588858875981654,-3.532520760353264,0.04508425085914878,2.528550199744703,0.9588847629334264,-3.532519526709632,0.0450845640315017,4.221512464042121e-7,4.221512464042121e-7,1.1246647390050768e-6,1.1246647390050768e-6,-1.2336436316928712e-6,1.2336436316928712e-6,-3.131723529184449e-7,3.131723529184449e-7
fish,-0.8179252345597666,0.19106291715408869,0.06749370791328868,0.5593686094923891,-0.8179253431314478,0.1910623959923116,0.0674941766232277,0.5593687705159087,1.0857168120104177e-7,1.0857168120104177e-7,5.211617770950472e-7,5.211617770950472e-7,-4.6870993901382274e-7,4.6870993901382274e-7,-1.610235196292109e-7,1.610235196292109e-7
