modelo,parametro,estimativa_R,erro_padrao_R,estat_t_R,estimativa_Stata,erro_padrao_Stata,estat_t_Stata,dif_estimativa,abs_dif_estimativa,dif_erro_padrao,abs_dif_erro_padrao,dif_estat_t,abs_dif_estat_t
irrestrito,a_bfvl,0.43553507462365815,0.20025885014368008,2.1748605582783185,0.4355349213427868,0.20025879,2.1748605,1.532808713289313e-7,1.532808713289313e-7,6.014368009177318e-8,6.014368009177318e-8,5.827831861537902e-8,5.827831861537902e-8
irrestrito,gbfvl_bfvl,0.2502455583589551,0.07654199994746332,3.2693888130793285,0.2502455003732977,0.076541953,3.2693901,5.798565744230544e-8,5.798565744230544e-8,4.6947463319679805e-8,4.6947463319679805e-8,-1.2869206713617132e-6,1.2869206713617132e-6
irrestrito,gbfvl_pork,0.3607514795053248,0.19653451147988257,1.8355630102260776,0.3607514050854954,0.1965344,1.8355637,7.441982941003289e-8,7.441982941003289e-8,1.1147988257520502e-7,1.1147988257520502e-7,-6.897739224243082e-7,6.897739224243082e-7
irrestrito,gbfvl_poult,-0.5682378601318305,0.2436372405628602,-2.3323111804216192,-0.5682376369893627,0.24363704,-2.3323121000000002,-2.231424678367233e-7,2.231424678367233e-7,2.0056286020864178e-7,2.0056286020864178e-7,9.195783809978764e-7,9.195783809978764e-7
irrestrito,gbfvl_fish,-0.16523361916544843,0.06359738777074747,-2.598119591972455,-0.1652336679018112,0.063597381,-2.5981207,4.873636277880067e-8,4.873636277880067e-8,6.770747476569916e-9,6.770747476569916e-9,1.1080275448271948e-6,1.1080275448271948e-6
irrestrito,b_bfvl,0.0243671839707531,0.1489951507867389,0.16354346998601696,0.0243672986718012,0.1489951,0.1635443,-1.1470104810049064e-7,1.1470104810049064e-7,5.078673889769014e-8,5.078673889769014e-8,-8.300139830441644e-7,8.300139830441644e-7
irrestrito,a_pork,0.38546580136130615,0.06518100062769562,5.913775450656713,0.3854658433557051,0.065180995,5.9137764,-4.199439895824497e-8,4.199439895824497e-8,5.627695615073591e-9,5.627695615073591e-9,-9.493432866491958e-7,9.493432866491958e-7
irrestrito,gpork_bfvl,-0.0530773501867543,0.02491317683595091,-2.130493053385353,-0.0530773863120393,0.024913168,-2.1304953,3.6125284999521945e-8,3.6125284999521945e-8,8.835950911917356e-9,8.835950911917356e-9,2.246614647205547e-6,2.246614647205547e-6
irrestrito,gpork_pork,0.00562495300458465,0.06396878892929882,0.08793277313412334,0.0056248712547484,0.06396877,0.087931521,8.174983624938126e-8,8.174983624938126e-8,1.892929882285621e-8,1.892929882285621e-8,1.2521341233445726e-6,1.2521341233445726e-6
irrestrito,gpork_poult,-0.04246730235890084,0.07929996161757216,-0.5355274011821269,-0.0424671968758287,0.079299912,-0.53552639,-1.054830721380906e-7,1.054830721380906e-7,4.961757216204177e-8,4.961757216204177e-8,-1.0111821269198629e-6,1.0111821269198629e-6
irrestrito,gpork_fish,0.04881768245679296,0.02069991597977857,2.3583517200979074,0.0488176979929422,0.020699918,2.3583522,-1.5536149242101338e-8,1.5536149242101338e-8,-2.0202214311149103e-9,2.0202214311149103e-9,-4.799020927315212e-7,4.799020927315212e-7
irrestrito,b_pork,-0.10684487827631985,0.04849549974933138,-2.203191612182384,-0.1068449093652748,0.048495494,-2.2031925,3.108895495207431e-8,3.108895495207431e-8,5.749331379034661e-9,5.749331379034661e-9,8.878176163129581e-7,8.878176163129581e-7
irrestrito,a_fish,0.1820386496433457,0.06600935797555486,2.7577703408471232,0.1820386612107386,0.066009343,2.7577713,-1.156739290464337e-8,1.156739290464337e-8,1.4975554865626073e-8,1.4975554865626073e-8,-9.591528766783597e-7,9.591528766783597e-7
irrestrito,gfish_bfvl,-0.07997413072077109,0.0252297877026429,-3.1698297133270574,-0.0799740873972704,0.025229773,-3.1698298,-4.3323500689695926e-8,4.3323500689695926e-8,1.4702642898295482e-8,1.4702642898295482e-8,8.667294260078506e-8,8.667294260078506e-8
