produto_linha,bfvl_PY,pork_PY,poult_PY,fish_PY,bfvl_Stata,pork_Stata,poult_Stata,fish_Stata,dif_bfvl,abs_dif_bfvl,dif_pork,abs_dif_pork,dif_poult,abs_dif_poult,dif_fish,abs_dif_fish
bfvl,-1.3602727467671318,-0.2868680964629247,0.7199329042378468,-0.3526503276967355,-1.360272703511606,-0.2868679096868126,0.7199327542708425,-0.3526503472626641,-4.325552582784553e-08,4.325552582784553e-08,-1.8677611213213652e-07,1.8677611213213652e-07,1.4996700437031052e-07,1.4996700437031052e-07,1.956592859952977e-08,1.956592859952977e-08
fish,-1.111167528695678,0.0389527654102053,-0.0418536983681649,0.4863270468342509,-1.111168319641954,0.0389518907327024,-0.0418534836941229,0.48632703802997,7.909462760302688e-07,7.909462760302688e-07,8.746775028989351e-07,8.746775028989351e-07,-2.146740420011506e-07,2.146740420011506e-07,8.8042808599198e-09,8.8042808599198e-09
pork,-0.230564579900124,-0.968755982666634,0.5866187491630153,0.0231480406680631,-0.2305641361740227,-0.9687551957447068,0.5866179824455501,0.0231478186779725,-4.4372610130682943e-07,4.4372610130682943e-07,-7.869219271761096e-07,7.869219271761096e-07,7.667174651837527e-07,7.667174651837527e-07,2.2199009059795105e-07,2.2199009059795105e-07
poult,2.0291275324127938,0.6998259789656669,-3.718751125360285,-0.0793133671278349,2.029127332835465,0.699824970512294,-3.718749808012046,-0.0793129982775078,1.9957732888542523e-07,1.9957732888542523e-07,1.0084533729193268e-06,1.0084533729193268e-06,-1.317348238938365e-06,1.317348238938365e-06,-3.688503271009891e-07,3.688503271009891e-07
