modelo,N,N_empilhado,parametros,momentos,J,df_J,p_J,rank_Z,rank_ZX,identificado
irrestrito,40,120,18,18,5.517393112163432e-18,0,NA,18,18,TRUE
homogeneidade,40,120,15,18,14.815038826291616,3,0.0019817310408090376,18,15,TRUE
homog_simetria,40,120,12,18,36.405048594540624,6,2.2993600803330415e-6,18,12,TRUE
homog_simetria_L2,39,117,12,30,60.873201896513315,18,1.4773328397399644e-6,30,12,TRUE
