modelo,N_empilhado,parametros,momentos,J,df_J,p_J,max_abs_t,rank_X,rank_Z,rank_ZX,cond_ZZ,cond_ZX
irrestrito,120,18,18,5.517393112163432e-18,0,NA,5.913775450656713,18,18,18,16961.24199536677,15766.409715561696
homogeneidade,120,15,18,14.815038826291616,3,0.0019817310408090376,9.472231587918051,15,18,15,16961.24199536677,6473.646828773176
homog_simetria_L1,120,12,18,36.405048594540624,6,2.2993600803330415e-6,10.004098544749551,12,18,12,16961.24199536677,10141.728274025785
homog_simetria_L2,117,12,30,60.873201896513315,18,1.4773328397399644e-6,9.717716133773072,12,30,12,25699.02837384016,5164.914645434022
