modelo,parametro,estimativa,erro_padrao,estat_t
irrestrito,a_bfvl,0.43553507462365815,0.20025885014368008,2.1748605582783185
irrestrito,gbfvl_bfvl,0.2502455583589551,0.07654199994746332,3.2693888130793285
irrestrito,gbfvl_pork,0.3607514795053248,0.19653451147988257,1.8355630102260774
irrestrito,gbfvl_poult,-0.5682378601318305,0.2436372405628602,-2.3323111804216192
irrestrito,gbfvl_fish,-0.16523361916544843,0.06359738777074747,-2.598119591972455
irrestrito,b_bfvl,0.024367183970753103,0.1489951507867389,0.16354346998601696
irrestrito,a_pork,0.38546580136130615,0.06518100062769562,5.913775450656713
irrestrito,gpork_bfvl,-0.0530773501867543,0.02491317683595091,-2.130493053385353
irrestrito,gpork_pork,0.005624953004584654,0.06396878892929882,0.08793277313412334
irrestrito,gpork_poult,-0.04246730235890084,0.07929996161757216,-0.5355274011821269
irrestrito,gpork_fish,0.048817682456792966,0.020699915979778577,2.3583517200979074
irrestrito,b_pork,-0.10684487827631983,0.048495499749331386,-2.2031916121823842
irrestrito,a_fish,0.1820386496433457,0.06600935797555486,2.7577703408471232
irrestrito,gfish_bfvl,-0.07997413072077109,0.025229787702642906,-3.1698297133270574
irrestrito,gfish_pork,-0.134050341378952,0.06478174079959617,-2.0692611795295814
irrestrito,gfish_poult,0.11634553791770941,0.08030775077836327,1.4487460648574848
irrestrito,gfish_fish,0.1220318266216438,0.020962982323424195,5.821300840638716
irrestrito,b_fish,-0.0489879412789378,0.04911180823142569,-0.9974778580356031
homogeneidade,a_bfvl,0.4067852572306947,0.2359860467083298,1.7237682604745972
homogeneidade,gbfvl_bfvl,0.10843595088257985,0.0785521243993925,1.3804330781844323
homogeneidade,gbfvl_pork,0.28728752237441313,0.23061869275157068,1.2457252226465778
homogeneidade,gbfvl_fish,-0.328745367557449,0.054738314092776005,-6.005763476753381
homogeneidade,b_bfvl,0.0460440731617382,0.175573186537916,0.26225002843355427
homogeneidade,a_pork,0.37581745784109444,0.09718340323301677,3.867095052639764
homogeneidade,gpork_bfvl,-0.10066818498474106,0.032349212535191484,-3.1119207268253577
homogeneidade,gpork_pork,-0.01902930780255474,0.09497302795372767,-0.2003653901803164
homogeneidade,gpork_fish,-0.006056318985169895,0.0225422465648635,-0.2686652799996364
homogeneidade,b_pork,-0.09957018603961387,0.07230427401207422,-1.3770995892025204
homogeneidade,a_fish,0.18775528082414894,0.0703390406756919,2.6692897574452465
homogeneidade,gfish_bfvl,-0.05177662210327583,0.023413592245673236,-2.211391637814313
homogeneidade,gfish_pork,-0.11944272345266427,0.06873922351050338,-1.7376210750244128
homogeneidade,gfish_fish,0.15454460214086296,0.016315543038241013,9.472231587918051
homogeneidade,b_fish,-0.05329818711288681,0.05233211743538922,-1.0184603590460548
homog_simetria,a_bfvl,0.29242215845373565,0.2728471045061572,1.071743674843127
homog_simetria,a_pork,0.37566354542213176,0.09804858586733262,3.831401973817693
homog_simetria,a_fish,0.17424442816451347,0.14704302026200744,1.184989453114044
homog_simetria,g11,-0.1072270709454779,0.06424490330831516,-1.669036225813723
homog_simetria,g12,-0.10232891834470781,0.032454177868978445,-3.1530275934834147
homog_simetria,g14,-0.1495250655983501,0.025987191592123718,-5.753798561429341
homog_simetria,g22,-0.016528826597408397,0.09559574539384633,-0.1729033706396769
homog_simetria,g24,-0.005963307035383281,0.02262733461618738,-0.2635443871995947
homog_simetria,g44,0.16790334974552223,0.016783456199923472,10.004098544749551
homog_simetria,b_bfvl,0.13073262050369294,0.20303352528122653,0.6438967176608499
homog_simetria,b_pork,-0.09945661770693093,0.07294798854156084,-1.3633908171473057
homog_simetria,b_fish,-0.04331456891742391,0.10940933929406146,-0.3958946210341931
homog_simetria_L2,a_bfvl,0.2091402369305193,0.281918613397591,0.7418461463400005
homog_simetria_L2,a_pork,0.3779741503089653,0.09750191505147106,3.876581809797618
homog_simetria_L2,a_fish,0.1941037808838928,0.15093563077333913,1.2860037082654097
homog_simetria_L2,g11,-0.11064329750885671,0.06260607842806967,-1.767293213165854
homog_simetria_L2,g12,-0.09823635031531353,0.029013591427089373,-3.3858734987076553
homog_simetria_L2,g14,-0.1452786997452688,0.02589822361266284,-5.609600948623957
homog_simetria_L2,g22,-0.015013448661297613,0.06848736903990496,-0.2192148548230821
homog_simetria_L2,g24,0.003444952815297775,0.016053979137061365,0.21458560434683382
homog_simetria_L2,g44,0.16646432152534452,0.01712998396267332,9.717716133773072
homog_simetria_L2,b_bfvl,0.19322087031380164,0.20994273130240393,0.9203503694323385
homog_simetria_L2,b_pork,-0.10154172929921046,0.07262245814141789,-1.398213884491186
homog_simetria_L2,b_fish,-0.05829732715585578,0.11238672903330094,-0.518720739159353
