produto_linha,bfvl,pork,poult,fish
bfvl,-.1072270640147223,-.1023288381477942,.3590809804323897,-.1495250782698731
pork,-.1023288381477942,-.0165286500673276,.1248208558513659,-.0059633676362441
poult,.3590809804323897,.1248208558513659,-.4714869137578924,-.0124149225258632
fish,-.1495250782698731,-.0059633676362441,-.0124149225258632,.1679033684319805
