produto,eta_R,eta_Stata,dif_eta,abs_dif_eta
bfvl,1.2798582666934477,1.27985820619024,6.050320777717388e-8,6.050320777717388e-8
pork,0.5895537727331724,0.5895535307952069,2.419379655504983e-7,2.419379655504983e-7
poult,1.0691109811013992,1.069110502941794,4.781596052438886e-7,4.781596052438886e-7
fish,0.6277414148188981,0.6277428745734048,-1.4597545067163153e-6,1.4597545067163153e-6
