produto,eta_PY,eta_Stata,dif_eta,abs_dif_eta
bfvl,1.279858266688945,1.27985820619024,6.049870515667521e-08,6.049870515667521e-08
fish,0.6277414148193867,0.6277428745734048,-1.4597540181071622e-06,1.4597540181071622e-06
pork,0.5895537727356797,0.5895535307952069,2.419404727671548e-07,2.419404727671548e-07
poult,1.0691109811096595,1.069110502941794,4.781678655252364e-07,4.781678655252364e-07
