year,produto,observado,previsto,residuo
2003,Carne bovina e vitela,0.4148184683663389,0.43930890477051987,-0.02449043640418097
2004,Carne bovina e vitela,0.42978513239381905,0.4456894896047693,-0.015904357210950237
2005,Carne bovina e vitela,0.43060051602592786,0.44256056224512513,-0.011960046219197273
2006,Carne bovina e vitela,0.4323669891565362,0.42910086404756476,0.0032661251089714516
2007,Carne bovina e vitela,0.4311982544585935,0.43319101428354734,-0.001992759824953838
2008,Carne bovina e vitela,0.42654218099831936,0.4308323457243667,-0.004290164726047319
2009,Carne bovina e vitela,0.4206109139818331,0.43250098626043854,-0.011890072278605446
2010,Carne bovina e vitela,0.4181049380751062,0.420691288135235,-0.002586350060128806
1971,Carne suína,0.2632602814770121,0.25476812786057046,0.008492153616441622
1972,Carne suína,0.2531360297371551,0.24495830600456248,0.008177723732592623
1973,Carne suína,0.25604730596832015,0.26996255253740736,-0.013915246569087214
1974,Carne suína,0.2573985343229151,0.25487973093132904,0.0025188033915860553
1975,Carne suína,0.24512658378882293,0.2661164413368666,-0.020989857548043694
1976,Carne suína,0.2484529814375728,0.25768978392245057,-0.009236802484877765
1977,Carne suína,0.24641269025419335,0.2604520290883731,-0.014039338834179765
1978,Carne suína,0.24079301348956558,0.2504075252907182,-0.009614511801152609
1979,Carne suína,0.2469971839930458,0.23216985122126205,0.014827332771783747
1980,Carne suína,0.2461605676925719,0.23293107889010836,0.013229488802463552
1981,Carne suína,0.24713721964818025,0.2354665371428793,0.011670682505300956
1982,Carne suína,0.2479885837272488,0.23240447496138641,0.015584108765862387
1983,Carne suína,0.2531901256442839,0.23260035769997842,0.020589767944305476
1984,Carne suína,0.2412998324795128,0.24341135945258355,-0.0021115269730707376
1985,Carne suína,0.2409570348547871,0.24213803521005037,-0.0011810003552632786
1986,Carne suína,0.23795002640731266,0.24990899919820447,-0.011958972790891809
1987,Carne suína,0.24610992902082549,0.24004298502855212,0.006066943992273366
1988,Carne suína,0.24610556790567295,0.24357572178891945,0.002529846116753498
1989,Carne suína,0.23721491625432486,0.2506577279796949,-0.013442811725370013
1990,Carne suína,0.24709160419255324,0.24201804967573093,0.005073554516822315
1991,Carne suína,0.2524244443265013,0.23776264836550595,0.014661795960995344
1992,Carne suína,0.25077623764862117,0.2366616318172083,0.014114605831412858
1993,Carne suína,0.24751707233760603,0.23797606936309085,0.009541002974515184
1994,Carne suína,0.24664114445928279,0.24047262226590135,0.006168522193381432
1995,Carne suína,0.24462327553777247,0.24301000064876374,0.0016132748890087256
1996,Carne suína,0.24567414861716913,0.2501767151357369,-0.0045025665185677854
1997,Carne suína,0.2509635098153968,0.2517571202673188,-0.000793610451922
1998,Carne suína,0.25279623063464135,0.2502977080020271,0.002498522632614242
1999,Carne suína,0.24593176128748,0.24656339666661023,-0.0006316353791302187
2000,Carne suína,0.24359762814530506,0.24077152152284176,0.002826106622463298
2001,Carne suína,0.2410893912795168,0.23805351085248033,0.0030358804270364803
2002,Carne suína,0.2383191679332131,0.2363462728661803,0.0019728950670327983
2003,Carne suína,0.2352186015537511,0.22980067522169262,0.005417926332058481
2004,Carne suína,0.22461109478723357,0.22561364443928983,-0.0010025496520562616
2005,Carne suína,0.21947538097091476,0.22556061288429466,-0.006085231913379896
2006,Carne suína,0.21436797347901299,0.22199089501567282,-0.007622921536659832
2007,Carne suína,0.21702266953079447,0.22354132331997587,-0.0065186537891814
2008,Carne suína,0.2135172614639558,0.22751988368963236,-0.014002622225676553
2009,Carne suína,0.21602986023966458,0.232327397430272,-0.01629753719060742
2010,Carne suína,0.21330353657951384,0.22996707792578983,-0.016663541346275984
1971,Pescados,0.06569400409448017,0.05846972161911046,0.007224282475369714
1972,Pescados,0.07159473509920006,0.058914252566507244,0.012680482532692813
1973,Pescados,0.07139367681453176,0.051792758313271466,0.0196009185012603
1974,Pescados,0.0728383442096723,0.07007717578872388,0.0027611684209484233
1975,Pescados,0.07595643936270106,0.08133797137789675,-0.005381532015195686
1976,Pescados,0.08551880040409376,0.10280242588945393,-0.017283625485360166
1977,Pescados,0.09436447457365314,0.12168664980306901,-0.027322175229415865
1978,Pescados,0.09486103830247367,0.10463510323234167,-0.009774064929868001
1979,Pescados,0.08938395632592187,0.08392838597971751,0.005455570346204364
1980,Pescados,0.09009271446725285,0.09011161941636349,-1.8904949110637448e-05
1981,Pescados,0.09522185061314395,0.10148325082540466,-0.006261400212260709
1982,Pescados,0.09631912598132145,0.10601053106502581,-0.009691405083704363
1983,Pescados,0.10203227334457877,0.10872958974985131,-0.006697316405272533
1984,Pescados,0.10842618343950435,0.11082736231279891,-0.0024011788732945655
1985,Pescados,0.11943932300601563,0.12130614912533588,-0.0018668261193202501
1986,Pescados,0.12964605248021338,0.13431885383474432,-0.004672801354530937
1987,Pescados,0.14251049209683175,0.14063296438073908,0.001877527716092675
1988,Pescados,0.1369279703617171,0.14148932884706886,-0.004561358485351746
1989,Pescados,0.1423334281559401,0.1392434181000099,0.003090010055930209
1990,Pescados,0.13245950126180125,0.13135007865168175,0.0011094226101195093
1991,Pescados,0.12977662111633548,0.12899904929527528,0.0007775718210601967
1992,Pescados,0.13022536241912783,0.13245505268578614,-0.002229690266658313
1993,Pescados,0.1321070569162035,0.13200609687899117,0.0001009600372123276
1994,Pescados,0.13557517260038648,0.1393125900335451,-0.003737417433158613
1995,Pescados,0.13981441026566832,0.1483768956667272,-0.008562485401058889
1996,Pescados,0.13526193551332794,0.14939258715565215,-0.014130651642324216
