modelo,N_empilhado,parametros,momentos,J,df_J,p_J,max_abs_t,rank_X,rank_Z,rank_ZX,cond_ZZ,cond_ZX
irrestrito,120,18,18,6.475223316290076e-18,0.0,,5.91377545067987,18,18,18,19226.847039265558,14998.072883911418
homogeneidade,120,15,18,14.815038826298249,3.0,0.001981731040802858,9.472231587917566,15,18,15,19226.847039265558,10482.487242101473
homog_simetria_L1,120,12,18,36.40504859453787,6.0,2.2993600803358807e-06,10.004098544748679,12,18,12,19226.847039265558,10402.449396712791
homog_simetria_L2,117,12,30,60.87320189651312,18.0,1.4773328397400682e-06,9.717716133770702,12,30,12,32522.93155052496,5359.3117044426435
