model,N,k_inst,partial_R2,F_usual,p_F
Z1,52,1,0.041294474520700224,2.6611293923502566,0.10937250835897555
Z2,52,2,0.6054778587780612,29.374477286129647,5.294338670563111e-9
Z3,52,3,0.6266675816145995,23.223729477382438,2.662695540881487e-9
Z4,51,1,0.017883962828133003,0.9976750084278527,0.32298863560129665
Z5,51,2,0.49823013840151925,24.222378037074655,6.521381323426449e-8
Z6,51,2,0.06159154633462064,1.7238083863128821,0.18970847793374926
Z7,51,4,0.6099721005655917,17.30943284874199,1.3429803863833049e-8
