model,N,beta_p,se_p,pval_p,ci_low,ci_high,hansen_J,hansen_p,hansen_df
GMM_Z1,52,-1.710860373826991,0.9790796174000208,0.08056502966883881,-3.629821161928287,0.20810041427430503,NA,NA,0
GMM_Z2,52,-0.2823161792876294,0.08038903676060331,4.4495866802398267e-4,-0.4398757960902783,-0.12475656248498052,14.592206210056895,1.334653987012711e-4,1
