model,k_inst,ar_low,ar_high,ar_low_grid,ar_high_grid,beta0_minp,p_min,p_max,grid_initial_min,grid_initial_max,grid_min,grid_max,grid_step,n_expand,npoints_final,max_abs_beta,min_tail_hits,tail_hits_left,tail_hits_right,open_left,open_right,empty_interval
Z1,1,NA,-0.7700000000001754,-9,-0.7700000000001754,-1.7100000000001554,6.289881832203368e-6,0.9993021386291899,-5,2,-9,1.9999999999997655,0.004999999999999893,2,2201,100,3,3,0,TRUE,FALSE,FALSE
Z2,2,NA,NA,NA,NA,-0.29500000000095383,2.4252198945111558e-9,2.7778983322645216e-4,-5,2,-45,41.99999999999815,0.004999999999999893,20,17401,100,3,0,0,FALSE,FALSE,TRUE
Z7,4,NA,NA,NA,NA,-0.8250000000009408,8.834477269496221e-9,4.348202654704293e-7,-5,2,-45,41.99999999999815,0.004999999999999893,20,17401,100,3,0,0,FALSE,FALSE,TRUE
