model,price_coef_minus_alpha,alpha,alpha_se,gmm_objective,sigma_nested
OLS,-0.22401891912398908,0.22401891912398908,0.19874199297598283,,
IV_own,1.303009486721816,-1.303009486721816,0.8962875095477845,0.20560253374142684,
IV_rival,1.303009486719812,-1.303009486719812,0.8962875095520771,0.20560253374196197,
IV_both,0.15938330455571548,-0.15938330455571548,0.15741542306500733,2.048348798720674,
GMM_own_1,1.303009486721816,-1.303009486721816,0.8962875095477845,0.20560253374142684,
GMM_own_2,1.1764215600759536,-1.1764215600759536,0.8040155429457684,0.32337683985434834,
GMM_rival_1,1.303009486719812,-1.303009486719812,0.8962875095520771,0.20560253374196197,
GMM_rival_2,1.176421560076538,-1.176421560076538,0.8040155429397698,0.3233768398541331,
GMM_both_1,0.15938330455571548,-0.15938330455571548,0.15741542306500733,2.048348798720674,
GMM_both_2,5.18027640234472,-5.18027640234472,17.596352701410158,86.1210046628431,
IV_nested,2.2597273376298403,-2.2597273376298403,0.6412359181142936,24.025091633920958,-0.8627964349377208
GMM_nested_1,2.2597273376298403,-2.2597273376298403,0.6412359181142936,24.025091633920958,-0.8627964349377208
GMM_nested_2,-0.5126950428282138,0.5126950428282138,0.32709504521249855,1.4913816979346795,-0.3123052028907871
