model,parameter,estimate,std_error,statistic,p_value,objective_gmm,sigma_nested
OLS,b0,-2.0208343996056106,0.8216115354305571,-2.45959837765254,0.01390925708651475,,
OLS,bcals,0.0005053779333585992,0.0025159761755194528,0.20086753534311905,0.8408021533492218,,
OLS,bfat,-0.005112214567918046,0.050107284465355166,-0.10202537659873982,0.9187365325690918,,
OLS,bsugar,-0.02948736632911518,0.016481455792051816,-1.7891238917945262,0.07359486522100898,,
OLS,alpha,0.22401891912398908,0.19874199297598283,1.1271846265074985,0.2596644290049891,,
IV_own,b0,-7.429019538814225,3.1692804610702043,-2.344071353125242,0.01907452186859136,0.20560253374142684,
IV_own,bcals,0.008551499387014204,0.006332328479456734,1.3504510094125532,0.1768713581319863,0.20560253374142684,
IV_own,bfat,-0.07472505329859178,0.12951884683054948,-0.5769434729167652,0.5639776419563058,0.20560253374142684,
IV_own,bsugar,-0.04993447325749762,0.03082857639076191,-1.6197463231698557,0.10528678097189723,0.20560253374142684,
IV_own,alpha,-1.303009486721816,0.8962875095477845,-1.4537851669708532,0.14600587713800972,0.20560253374142684,
IV_rival,b0,-7.429019538806558,3.169280461087678,-2.344071353109899,0.019074521869376037,0.20560253374196197,
IV_rival,bcals,0.008551499387001211,0.006332328479467208,1.3504510094082676,0.1768713581333602,0.20560253374196197,
IV_rival,bfat,-0.07472505329847012,0.12951884683053097,-0.5769434729159083,0.5639776419568847,0.20560253374196197,
IV_rival,bsugar,-0.049934473257470635,0.03082857639074624,-1.6197463231698035,0.10528678097190838,0.20560253374196197,
IV_rival,alpha,-1.303009486719812,0.8962875095520771,-1.4537851669616546,0.14600587714056082,0.20560253374196197,
IV_both,b0,-2.970767814663263,0.0,,,2.048348798720674,
IV_both,bcals,-0.0015604511977731874,0.002866028911394763,-0.544464569624243,0.5861218231540585,2.048348798720674,
IV_both,bfat,0.03408016627356837,0.06167171736339992,0.5526060847754792,0.5805331745074931,2.048348798720674,
IV_both,bsugar,-0.02392389380948324,0.018147561711358503,-1.3182979724768946,0.18740391942115997,2.048348798720674,
IV_both,alpha,-0.15938330455571548,0.15741542306500733,-1.0125011987541745,0.31129847381826115,2.048348798720674,
GMM_own_1,b0,-7.429019538814225,3.1692804610702043,-2.344071353125242,0.01907452186859136,0.20560253374142684,
GMM_own_1,bcals,0.008551499387014204,0.006332328479456734,1.3504510094125532,0.1768713581319863,0.20560253374142684,
GMM_own_1,bfat,-0.07472505329859178,0.12951884683054948,-0.5769434729167652,0.5639776419563058,0.20560253374142684,
GMM_own_1,bsugar,-0.04993447325749762,0.03082857639076191,-1.6197463231698557,0.10528678097189723,0.20560253374142684,
GMM_own_1,alpha,-1.303009486721816,0.8962875095477845,-1.4537851669708532,0.14600587713800972,0.20560253374142684,
GMM_own_2,b0,-7.009838733137489,2.8433827770626574,-2.4653165903955316,0.01368922383153978,0.32337683985434834,
GMM_own_2,bcals,0.008006192122673209,0.005701535854149184,1.4042167457119217,0.16025431678610835,0.32337683985434834,
GMM_own_2,bfat,-0.0639476066776873,0.11469868300765644,-0.5575269480070545,0.5771674525162773,0.32337683985434834,
GMM_own_2,bsugar,-0.0486233760769641,0.02887055921670072,-1.684185460766447,0.09214583220452928,0.32337683985434834,
GMM_own_2,alpha,-1.1764215600759536,0.8040155429457684,-1.4631826093383176,0.14341741809999037,0.32337683985434834,
GMM_rival_1,b0,-7.429019538806558,3.169280461087678,-2.344071353109899,0.019074521869376037,0.20560253374196197,
GMM_rival_1,bcals,0.008551499387001211,0.006332328479467208,1.3504510094082676,0.1768713581333602,0.20560253374196197,
GMM_rival_1,bfat,-0.07472505329847012,0.12951884683053097,-0.5769434729159083,0.5639776419568847,0.20560253374196197,
GMM_rival_1,bsugar,-0.049934473257470635,0.03082857639074624,-1.6197463231698035,0.10528678097190838,0.20560253374196197,
GMM_rival_1,alpha,-1.303009486719812,0.8962875095520771,-1.4537851669616546,0.14600587714056082,0.20560253374196197,
GMM_rival_2,b0,-7.009838733139682,2.843382777030558,-2.465316590424134,0.013689223830446897,0.3233768398541331,
GMM_rival_2,bcals,0.008006192122674052,0.005701535854121443,1.4042167457189019,0.16025431678403035,0.3233768398541331,
GMM_rival_2,bfat,-0.06394760667767549,0.11469868300761807,-0.5575269480071381,0.5771674525162203,0.3233768398541331,
GMM_rival_2,bsugar,-0.04862337607696674,0.028870559216799617,-1.6841854607607694,0.09214583220562624,0.3233768398541331,
GMM_rival_2,alpha,-1.176421560076538,0.8040155429397698,-1.463182609349961,0.14341741809680517,0.3233768398541331,
GMM_both_1,b0,-2.970767814663263,0.0,,,2.048348798720674,
GMM_both_1,bcals,-0.0015604511977731874,0.002866028911394763,-0.544464569624243,0.5861218231540585,2.048348798720674,
GMM_both_1,bfat,0.03408016627356837,0.06167171736339992,0.5526060847754792,0.5805331745074931,2.048348798720674,
GMM_both_1,bsugar,-0.02392389380948324,0.018147561711358503,-1.3182979724768946,0.18740391942115997,2.048348798720674,
GMM_both_1,alpha,-0.15938330455571548,0.15741542306500733,-1.0125011987541745,0.31129847381826115,2.048348798720674,
GMM_both_2,b0,-21.910081201782255,47.9206575734004,-0.45721578774712,0.6475159517015553,86.1210046628431,
GMM_both_2,bcals,0.038794068348433505,0.12122155164205257,0.32002616550385404,0.7489484955870154,86.1210046628431,
GMM_both_2,bfat,-0.4117951854262373,2.4967987341957802,-0.16492926713969866,0.868999655999361,86.1210046628431,
GMM_both_2,bsugar,-0.1438318223093446,0.6710146925436727,-0.21434973616465688,0.8302743353712603,86.1210046628431,
GMM_both_2,alpha,-5.18027640234472,17.596352701410158,-0.29439489479712333,0.7684561675217619,86.1210046628431,
IV_nested,b0,-12.53192779364781,1.7750394729879404,-7.0600840062180135,1.6640197540747273e-12,24.025091633920958,-0.8627964349377208
IV_nested,bcals,0.006541580380084393,0.011535163008580823,0.5670990843578211,0.57064686496319,24.025091633920958,-0.8627964349377208
IV_nested,bfat,-0.04652425235498514,0.2074078603519924,-0.2243128697052692,0.8225138627687061,24.025091633920958,-0.8627964349377208
IV_nested,bsugar,-0.05532982832686384,0.06469202876860727,-0.855280463142832,0.39239590056901474,24.025091633920958,-0.8627964349377208
IV_nested,alpha,-2.2597273376298403,0.6412359181142936,-3.524018654904898,0.00042505432241415924,24.025091633920958,-0.8627964349377208
IV_nested,sigma,-0.8627964349377208,0.2798258696791637,-3.0833333455801144,0.002046957244338007,24.025091633920958,-0.8627964349377208
GMM_nested_1,b0,-12.53192779364781,1.7750394729879404,-7.0600840062180135,1.6640197540747273e-12,24.025091633920958,-0.8627964349377208
GMM_nested_1,bcals,0.006541580380084393,0.011535163008580823,0.5670990843578211,0.57064686496319,24.025091633920958,-0.8627964349377208
GMM_nested_1,bfat,-0.04652425235498514,0.2074078603519924,-0.2243128697052692,0.8225138627687061,24.025091633920958,-0.8627964349377208
GMM_nested_1,bsugar,-0.05532982832686384,0.06469202876860727,-0.855280463142832,0.39239590056901474,24.025091633920958,-0.8627964349377208
GMM_nested_1,alpha,-2.2597273376298403,0.6412359181142936,-3.524018654904898,0.00042505432241415924,24.025091633920958,-0.8627964349377208
GMM_nested_1,sigma,-0.8627964349377208,0.2798258696791637,-3.0833333455801144,0.002046957244338007,24.025091633920958,-0.8627964349377208
GMM_nested_2,b0,-0.2397394173466978,0.5361949241482692,-0.4471124334634783,0.654793882190128,1.4913816979346795,-0.3123052028907871
GMM_nested_2,bcals,-0.016187308126229483,0.004985346744448006,-3.246977383119175,0.0011663765814513903,1.4913816979346795,-0.3123052028907871
GMM_nested_2,bfat,0.5594097262104594,0.16687411743082806,3.352285751817345,0.0008014724828877136,1.4913816979346795,-0.3123052028907871
GMM_nested_2,bsugar,-0.06205552193079633,0.03556838921802997,-1.7446818170596203,0.08104027010841483,1.4913816979346795,-0.3123052028907871
GMM_nested_2,alpha,0.5126950428282138,0.32709504521249855,1.5674191655674254,0.11701674704430809,1.4913816979346795,-0.3123052028907871
GMM_nested_2,sigma,-0.3123052028907871,0.0,,,1.4913816979346795,-0.3123052028907871
