"model","parameter","estimate","std_error","t_stat","p_value","gmm_objective"
"Q1_MQO_logit_simples","const",-2.02083439960175,0.821611535430171,-2.459598377649,0.0139092570866521,NA
"Q1_MQO_logit_simples","cals",0.000505377933347461,0.00251597617551945,0.200867535338692,0.840802153352683,NA
"Q1_MQO_logit_simples","fat",-0.00511221456778216,0.0501072844653298,-0.102025376596079,0.918736532571204,NA
"Q1_MQO_logit_simples","sugar",-0.029487366329111,0.0164814557920525,-1.7891238917942,0.0735948652210616,NA
"Q1_MQO_logit_simples","price",-0.224018919124807,0.198741992975932,-1.1271846265119,0.259664429003128,NA
"Q2_2SLS_own_firm","const",-7.42901953859116,3.16928046091429,-2.34407135317017,0.0190745218662935,NA
"Q2_2SLS_own_firm","cals",0.00855149938665584,0.00633232847915601,1.35045100942009,0.176871358129569,NA
"Q2_2SLS_own_firm","fat",-0.0747250532953227,0.129518846826698,-0.57694347290868,0.563977641961768,NA
"Q2_2SLS_own_firm","sugar",-0.0499344732567099,0.0308285763897288,-1.61974632319858,0.105286780965723,NA
"Q2_2SLS_own_firm","price",1.30300948666023,0.89628750950676,1.45378516696868,0.146005877138612,NA
"Q2_2SLS_rival_firms","const",-7.71834187876342,3.51996132717323,-2.1927348517098,0.0283264881814607,NA
"Q2_2SLS_rival_firms","cals",0.00913114749580394,0.00682482260183343,1.33793184504912,0.180918655084347,NA
"Q2_2SLS_rival_firms","fat",-0.0806943530389164,0.133471798191553,-0.604579799869835,0.545458231868568,NA
"Q2_2SLS_rival_firms","sugar",-0.050729403126572,0.0320811626475083,-1.58128318739446,0.113813302015664,NA
"Q2_2SLS_rival_firms","price",1.37712070783803,0.988742624401249,1.39279998035078,0.163680284371051,NA
"Q2_2SLS_both","const",-7.42901953901565,3.16928046114215,-2.34407135313559,0.0190745218680621,NA
"Q2_2SLS_both","cals",0.0085514993873416,0.00633232847962547,1.35045100942827,0.176871358126948,NA
"Q2_2SLS_both","fat",-0.0747250533015984,0.129518846833553,-0.576943472926598,0.563977641949663,NA
"Q2_2SLS_both","sugar",-0.0499344732582115,0.0308285763915599,-1.61974632315109,0.10528678097593,NA
"Q2_2SLS_both","price",1.30300948677747,0.896287509567582,1.45378516700084,0.146005877129694,NA
"Q3_GMM_own_2step_step1","const",-7.42901953883779,3.1692804610587,-2.34407135314119,0.0190745218677757,0.205602533730305
"Q3_GMM_own_2step_step1","cals",0.00855149938696886,0.00633232847945147,1.35045100940651,0.176871358133922,0.205602533730305
"Q3_GMM_own_2step_step1","fat",-0.0747250532976871,0.129518846831147,-0.576943472907116,0.563977641962824,0.205602533730305
"Q3_GMM_own_2step_step1","sugar",-0.0499344732577507,0.0308285763908517,-1.61974632317335,0.105286780971147,0.205602533730305
"Q3_GMM_own_2step_step1","price",1.30300948673266,0.896287509546066,1.45378516698574,0.14600587713388,0.205602533730305
"Q3_GMM_own_2step","const",-7.00983873268592,2.84338277665553,-2.46531659058971,0.0136892238241202,0.323376839874806
"Q3_GMM_own_2step","cals",0.00800619212205511,0.00570153585337907,1.40421674579318,0.160254316761917,0.323376839874806
"Q3_GMM_own_2step","fat",-0.0639476066701974,0.114698682996471,-0.557526947996123,0.577167452523744,0.323376839874806
"Q3_GMM_own_2step","sugar",-0.0486233760746,0.0288705592144038,-1.68418546081856,0.0921458321944619,0.323376839874806
"Q3_GMM_own_2step","price",1.17642155994315,0.804015542836444,1.4631826093721,0.14341741809075,0.323376839874806
"Q3_GMM_rival_2step_step1","const",-7.71834187871741,3.51996132714686,-2.19273485171316,0.0283264881812186,0.115321716502512
"Q3_GMM_rival_2step_step1","cals",0.00913114749572896,0.00682482260178172,1.33793184504827,0.180918655084624,0.115321716502512
"Q3_GMM_rival_2step_step1","fat",-0.0806943530382256,0.133471798190785,-0.604579799868139,0.545458231869695,0.115321716502512
"Q3_GMM_rival_2step_step1","sugar",-0.0507294031264145,0.0320811626473077,-1.58128318739944,0.113813302014526,0.115321716502512
"Q3_GMM_rival_2step_step1","price",1.37712070782538,0.988742624393933,1.39279998034829,0.163680284371803,0.115321716502512
"Q3_GMM_rival_2step","const",-7.38678027281139,3.21301753667475,-2.29901648170156,0.0215040034240672,0.192916791608562
"Q3_GMM_rival_2step","cals",0.00849362516115582,0.00625349098250192,1.35822138145271,0.174393447976229,0.192916791608562
"Q3_GMM_rival_2step","fat",-0.064786112129994,0.120226032433721,-0.538869251679827,0.589977075141381,0.192916791608562
"Q3_GMM_rival_2step","sugar",-0.0491358985351376,0.0305378877385439,-1.60901431545705,0.107613211426391,0.192916791608562
"Q3_GMM_rival_2step","price",1.27858157615526,0.90215393634385,1.41725433392992,0.156408581312286,0.192916791608562
"Q3_GMM_both_2step_step1","const",-7.42901953906517,3.1692804611909,-2.34407135311515,0.0190745218691073,0.205602533741571
"Q3_GMM_both_2step_step1","cals",0.00855149938742272,0.00633232847969878,1.35045100942545,0.176871358127853,0.205602533741571
"Q3_GMM_both_2step_step1","fat",-0.0747250533023447,0.129518846834472,-0.576943472928267,0.563977641948536,0.205602533741571
"Q3_GMM_both_2step_step1","sugar",-0.0499344732583884,0.030828576391782,-1.61974632314516,0.105286780977205,0.205602533741571
"Q3_GMM_both_2step_step1","price",1.30300948679121,0.896287509580438,1.45378516699531,0.146005877131226,0.205602533741571
"Q3_GMM_both_2step","const",-7.00983873314226,2.84338277695617,-2.46531659048954,0.0136892238279478,0.323376839833616
"Q3_GMM_both_2step","cals",0.00800619212269726,0.00570153585399946,1.40421674575302,0.160254316773875,0.323376839833616
"Q3_GMM_both_2step","fat",-0.0639476066785534,0.114698683006581,-0.557526948019834,0.577167452507549,0.323376839833616
"Q3_GMM_both_2step","sugar",-0.0486233760769377,0.0288705592165557,-1.68418546077399,0.0921458322030719,0.323376839833616
"Q3_GMM_both_2step","price",1.17642156007707,0.804015542917844,1.46318260939053,0.143417418085708,0.323376839833616
"Q4_2SLS_nested_reference","const",-0.672050014894893,1.00885233780359,-0.66615300347922,0.505313308638182,NA
"Q4_2SLS_nested_reference","cals",0.00207773421586205,0.00201406886544659,1.03161031457648,0.302254706464422,NA
"Q4_2SLS_nested_reference","fat",-0.00871230885590199,0.0304528597172533,-0.286091649086275,0.774807927434395,NA
"Q4_2SLS_nested_reference","sugar",-0.0291901696093754,0.0109054860778802,-2.67665002741898,0.00743622648574682,NA
"Q4_2SLS_nested_reference","price",-0.341407429077601,0.214222694092816,-1.59370336799929,0.111002489529758,NA
"Q4_2SLS_nested_reference","log_share_within_nest",0.412600651605825,0.124517069437971,3.31360715015354,0.000921008103379028,NA
"Q4_nested_GMM_2step_step1","const",-0.672050014904016,1.0088523378007,-0.666153003490168,0.505313308631185,2.83624035531569
"Q4_nested_GMM_2step_step1","cals",0.00207773421587898,0.00201406886544217,1.03161031458715,0.302254706459421,2.83624035531569
"Q4_nested_GMM_2step_step1","fat",-0.00871230885604662,0.0304528597172605,-0.286091649090957,0.77480792743081,2.83624035531569
"Q4_nested_GMM_2step_step1","sugar",-0.029190169609396,0.0109054860778691,-2.6766500274236,0.00743622648564424,2.83624035531569
"Q4_nested_GMM_2step_step1","price",-0.341407429074629,0.214222694092142,-1.59370336799042,0.111002489531745,2.83624035531569
"Q4_nested_GMM_2step_step1","log_share_within_nest",0.41260065160651,0.124517069437952,3.31360715015955,0.000921008103359267,2.83624035531569
"Q4_nested_GMM_2step","const",-0.189756527658574,1.09320077930257,-0.173578844116479,0.862196459555451,11.6976701014896
"Q4_nested_GMM_2step","cals",7.98138169733689e-05,0.00195021954593213,0.0409255548380945,0.967355244695761,11.6976701014896
"Q4_nested_GMM_2step","fat",0.00510521445709999,0.0257670361192306,0.198129673644918,0.842943608798771,11.6976701014896
"Q4_nested_GMM_2step","sugar",-0.0170368669573895,0.009732661193208,-1.7504839240966,0.0800348457318927,11.6976701014896
"Q4_nested_GMM_2step","price",-0.484771688863319,0.221602273335123,-2.18757543218075,0.0287005430310914,11.6976701014896
"Q4_nested_GMM_2step","log_share_within_nest",0.373309707196512,0.134233668557357,2.78104376650483,0.00541844317067719,11.6976701014896
